Timer,AX,AY,AZ,GX,GY,GZ
"1001","12","0","-1","3","-2","-1"
"1001","11","-7","-1","3","1","1"
"1001","8","-6","-1","-5","0","0"
"1001","7","-2","-1","-2","1","-1"
"1002","6","3","-1","1","2","-2"
"1002","-1","1","-1","-2","0","-1"
"1002","0","-5","-1","-7","2","-2"
"1002","-5","-6","-1","-4","3","2"
"1002","-5","-4","-1","-4","5","-2"
"1002","-4","-3","-1","1","0","0"
"1002","-6","-9","-1","2","2","-3"
"1002","-7","-9","-1","-2","0","-3"
"1003","-3","-6","-1","1","1","0"
"1003","-7","-3","-1","4","2","1"
"1003","-7","-6","-1","4","0","-1"
"1003","-6","-6","-1","2","1","0"
"1003","-6","-6","-1","1","0","-2"
"1003","-3","-2","-1","2","-3","1"
"1003","-5","-2","-1","2","1","1"
"1003","-1","-4","-1","1","1","1"
"1003","0","-2","-1","3","-2","1"
"1004","2","-1","-1","3","-1","0"
"1004","5","0","-1","2","-2","-2"
"1004","6","3","-1","3","-1","2"
"1004","10","2","-1","3","-1","3"
"1004","11","0","-1","-1","-2","-2"
"1004","10","-4","-1","-2","-1","4"
"1004","11","-10","-1","-5","0","-1"
"1004","11","-7","-1","-3","2","0"
"1005","7","-5","-1","4","0","0"
"1005","3","1","-1","2","0","-2"
"1005","4","1","-1","2","1","-2"
"1005","-1","2","-1","-3","1","0"
"1006","0","1","-1","0","2","1"
"1006","-5","-3","-1","-6","3","0"
"1006","-9","-5","-1","-6","0","-1"
"1006","-9","-9","-1","-6","1","0"
"1006","-11","-9","-1","-4","0","0"
"1006","-14","-4","-1","0","-2","-4"
"1006","-11","-6","-1","5","1","-1"
"1006","-16","-6","-1","6","-1","-2"
"1007","-12","-4","-1","7","-2","-3"
"1007","-7","-6","-1","8","-3","1"
"1007","-11","-9","-1","9","-5","4"
"1007","-1","-14","-1","7","-6","6"
"1007","1","-11","-1","6","-6","7"
"1007","1","-3","-1","11","-7","4"
"1007","4","4","-1","10","-4","5"
"1008","6","3","-1","11","-5","3"
"1008","6","0","-1","13","-7","3"
"1008","19","-5","-1","14","-3","4"
"1008","-34","-5","-2","1","-10","1"
"1008","34","31","1","26","-2","5"
"1008","-31","77","-4","46","-4","4"
"1008","-19","-108","1","-6","-6","4"
"1008","6","-60","1","-35","-4","2"
"1008","2","31","1","-35","-4","2"
"1009","53","10","1","68","2","7"
"1009","-40","-79","-1","2","-16","0"
"1009","58","-49","3","-14","-5","4"
"1009","-21","47","-2","62","-10","1"
"1009","4","1","-2","62","-10","1"
"1009","-12","-94","-2","70","-2","9"
"1009","18","-86","1","-17","-11","4"
"1009","11","78","1","64","-3","6"
"1010","-18","52","-2","77","-7","2"
"1010","29","-35","1","15","-9","3"
"1010","5","-15","1","-4","-13","4"
"1010","-4","45","1","48","-3","6"
"1010","-1","30","-1","70","-5","6"
"1010","1","-39","-1","26","-11","3"
"1010","-5","-27","-1","16","-10","4"
"1011","-25","33","-1","64","-6","3"
"1011","-17","43","-1","71","-5","5"
"1011","-11","-28","-1","29","-7","2"
"1011","-4","1","-1","14","-10","5"
"1011","51","13","1","14","-10","5"
"1011","-47","18","-2","28","-7","-2"
"1011","41","26","-2","39","-3","7"
"1011","-47","21","-6","4","-2","3"
"1011","80","-7","3","-2","-2","3"
"1012","44","0","1","-9","1","1"
"1012","-3","-28","1","-1","-7","3"
"1012","-7","-11","-1","-7","6","4"
"1012","-38","5","-3","8","-7","-2"
"1012","59","-2","4","11","8","3"
"1012","-43","2","-4","8","-7","-4"
"1012","43","-16","2","0","2","2"
"1012","9","0","2","5","0","3"
"1013","-10","1","2","12","-4","2"
"1013","-22","0","-2","6","2","3"
"1013","-34","-9","-2","2","-8","0"
"1013","27","0","-2","6","5","3"
"1013","-28","16","-2","14","-3","-1"
"1013","-7","12","-1","7","-4","-1"
"1013","12","-1","-1","2","-1","-1"
"1013","7","-4","-1","-3","2","3"
"1013","-4","-3","-1","-3","2","3"
"1014","-10","-9","-1","1","-3","-1"
