Timer,AX,AY,AZ,GX,GY,GZ,A
"42","0","0","-28","-2","-1","1","273.0625"
"42","-1","2","-23","-2","-1","1","273.0625"
"42","-1","2","-23","0","-1","1","273.0625"
"42","-2","-1","-25","0","-1","1","273.0625"
"43","-2","-1","-25","-1","3","1","273.0625"
"43","-3","3","-23","-1","3","1","273.0625"
"43","-3","3","-23","0","2","1","273.0625"
"43","-1","0","-25","0","2","1","273.0625"
"43","-1","0","-25","4","-1","1","273.0625"
"43","-3","0","-25","4","-1","1","273.0625"
"43","-3","0","-25","2","0","1","273.0625"
"43","-1","2","-24","2","0","1","273.0625"
"43","-1","2","-24","1","0","1","273.0625"
"43","-1","-1","-25","1","0","1","273.0625"
"44","-1","-1","-25","6","-1","1","273.0625"
"44","-1","3","-25","6","-1","1","273.0625"
"44","-1","3","-25","0","0","1","273.0625"
"44","0","6","-26","0","0","1","273.0625"
"44","0","6","-26","0","0","1","273.0625"
"44","-2","0","-26","0","0","1","273.0625"
"44","-2","0","-26","-2","0","1","273.0625"
"44","-1","1","-24","-2","0","1","273.0625"
"44","-1","1","-24","1","1","1","273.0625"
"44","-2","2","-29","1","1","1","273.0625"
"45","-2","2","-29","-2","2","1","273.0625"
"45","-3","1","-23","-2","2","1","273.0625"
"45","-3","1","-23","0","3","1","273.0625"
"45","-4","8","-27","0","3","1","273.0625"
"45","-4","8","-27","1","-1","1","273.0625"
"45","-3","2","-28","1","-1","1","273.0625"
"45","-3","2","-28","1","-1","1","273.0625"
"45","-3","0","-25","1","-1","1","273.0625"
"45","-3","0","-25","0","0","1","273.0625"
"45","-5","0","-25","0","0","1","273.0625"
"46","-5","0","-25","-1","-2","1","273.0625"
"46","0","1","-25","-1","-2","1","273.0625"
"46","0","1","-25","1","-1","1","273.0625"
"46","-2","0","-25","1","-1","1","273.0625"
"46","-2","0","-25","0","-3","1","273.0625"
"46","-1","2","-26","0","-3","1","273.0625"
"46","-1","2","-26","5","0","1","273.0625"
"46","-2","-4","-24","5","0","1","273.0625"
"47","-2","-4","-24","-2","1","1","273.0625"
"47","-3","-1","-25","-2","1","1","273.0625"
"47","-3","-1","-25","-1","0","1","273.0625"
"47","-1","1","-28","-1","0","1","273.0625"
"47","-1","1","-28","0","1","1","273.0625"
"48","0","0","-22","0","1","1","273.0625"
"48","0","0","-22","0","1","1","273.0625"
"48","2","2","-25","0","1","1","273.0625"
"48","2","2","-25","-2","0","1","273.0625"
"49","-1","0","-23","-2","0","1","273.0625"
"49","-1","0","-23","-2","-1","1","273.0625"
"49","0","0","-24","-2","-1","1","273.0625"
"49","0","0","-24","3","0","1","273.0625"
"49","1","4","-23","3","0","1","273.0625"
"49","1","4","-23","3","1","1","273.0625"
"50","-3","2","-26","3","1","1","273.0625"
"50","-3","2","-26","-1","0","1","273.0625"
"50","-1","0","-25","-1","0","1","273.0625"
"50","-1","0","-25","-2","0","1","273.0625"
"50","-2","1","-25","-2","0","1","273.0625"
"50","-2","1","-25","-1","0","1","273.0625"
"50","-5","0","-25","-1","0","1","273.0625"
"50","-5","0","-25","1","-1","1","273.0625"
"50","-3","1","-26","1","-1","1","273.0625"
"51","-3","1","-26","-1","-3","1","273.0625"
"51","-4","0","-23","-1","-3","1","273.0625"
"51","-4","0","-23","-3","2","1","273.0625"
"51","-2","1","-26","-3","2","1","273.0625"
"51","-2","1","-26","-3","-1","1","273.0625"
"51","0","2","-25","-3","-1","1","273.0625"
"51","0","2","-25","5","-2","1","273.0625"
"51","1","3","-22","5","-2","1","273.0625"
"51","1","3","-22","0","-1","1","273.0625"
"51","0","0","-24","0","-1","1","273.0625"
"52","0","0","-24","0","1","1","273.0625"
"52","-2","-3","-25","0","1","1","273.0625"
"52","-2","-3","-25","0","0","1","273.0625"
"52","0","0","-25","0","0","1","273.0625"
"52","0","0","-25","2","-3","1","273.0625"
"52","-2","6","-27","2","-3","1","273.0625"
"52","-2","6","-27","-1","1","1","273.0625"
"52","0","0","-21","-1","1","1","273.0625"
"53","0","0","-21","-2","-2","1","273.0625"
"53","-1","-2","-24","-2","-2","1","273.0625"
"53","-1","-2","-24","0","0","1","273.0625"
"53","-2","1","-24","0","0","1","273.0625"
"53","-2","1","-24","2","0","1","273.0625"
"53","-1","2","-25","2","0","1","273.0625"
"53","-1","2","-25","2","-1","1","273.0625"
"53","-1","3","-25","2","-1","1","273.0625"
"53","-1","3","-25","0","0","1","273.0625"
"53","-3","2","-23","0","0","1","273.0625"
"54","-3","2","-23","-2","-3","1","273.0625"
"54","-3","-1","-26","-2","-3","1","273.0625"
"54","-3","-1","-26","-4","3","1","273.0625"
"54","0","0","-23","-4","3","1","273.0625"
"54","0","0","-23","-2","-1","1","273.0625"
"54","0","0","-27","-2","-1","1","273.0625"
"54","0","0","-27","1","0","1","273.0625"
"54","-1","0","-26","1","0","1","273.0625"
"55","-1","0","-26","1","-1","1","273.0625"
"55","-2","0","-22","1","-1","1","273.0625"
"55","-2","0","-22","0","1","1","273.0625"
"55","-4","3","-23","0","1","1","273.0625"
"55","-4","3","-23","-1","0","1","273.0625"
"55","-1","1","-25","-1","0","1","273.0625"
"55","-1","1","-25","2","1","1","273.0625"
"55","-3","0","-28","2","1","1","273.0625"
"55","-3","0","-28","2","-2","1","273.0625"
"55","-3","1","-26","2","-2","1","273.0625"
"56","-3","1","-26","0","-1","1","273.0625"
"56","-4","1","-27","0","-1","1","273.0625"
"56","-4","1","-27","3","-2","1","273.0625"
"56","-3","0","-22","3","-2","1","273.0625"
"56","-3","0","-22","1","-3","1","273.0625"
"56","0","1","-26","1","-3","1","273.0625"
"56","0","1","-26","2","-3","1","273.0625"
"56","0","0","-29","2","-3","1","273.0625"
"56","0","0","-29","1","1","1","273.0625"
"56","0","0","-26","1","1","1","273.0625"
"57","0","0","-26","0","1","1","273.0625"
"57","1","2","-21","0","1","1","273.0625"
"57","1","2","-21","2","-3","1","273.0625"
"57","4","4","-23","2","-3","1","273.0625"
"57","4","4","-23","4","1","1","273.0625"
"57","3","0","-23","4","1","1","273.0625"
"57","3","0","-23","1","1","1","273.0625"
"57","0","0","-26","1","1","1","273.0625"
"57","0","0","-26","2","3","1","273.0625"
"57","-2","0","-22","2","3","1","273.0625"
"57","-2","0","-22","0","2","1","273.0625"
"58","-4","0","-24","0","2","1","273.0625"
"58","-4","0","-24","1","2","1","273.0625"
"58","-5","0","-25","1","2","1","273.0625"
"58","-5","0","-25","0","1","1","273.0625"
"58","-9","0","-28","0","1","1","273.0625"
"58","-9","0","-28","-1","1","1","273.0625"
"58","-8","0","-27","-1","1","1","273.0625"
"58","-8","0","-27","0","-1","1","273.0625"
"59","-7","0","-25","0","-1","1","273.0625"
"59","-7","0","-25","0","-2","1","273.0625"
"59","-5","0","-24","0","-2","1","273.0625"
"59","-5","0","-24","-1","-3","1","273.0625"
"59","-6","0","-23","-1","-3","1","273.0625"
"59","-6","0","-23","-2","-2","1","273.0625"
"59","-5","1","-26","-2","-2","1","273.0625"
"59","-5","1","-26","2","-3","1","273.0625"
"60","0","3","-25","2","-3","1","273.0625"
"60","0","3","-25","1","-1","1","273.0625"
"60","-1","3","-26","1","-1","1","273.0625"
"60","-1","3","-26","1","0","1","273.0625"
"60","2","4","-23","1","0","1","273.0625"
"60","2","4","-23","2","-4","1","273.0625"
"60","4","4","-23","2","-4","1","273.0625"
"60","4","4","-23","-4","-1","1","273.0625"
"61","0","0","-25","-4","-1","1","273.0625"
"61","0","0","-25","-2","1","1","273.0625"
"61","0","1","-23","-2","1","1","273.0625"
"61","0","1","-23","-3","2","1","273.0625"
"61","0","4","-23","-3","2","1","273.0625"
"61","0","4","-23","-1","1","1","273.0625"
"61","1","3","-27","-1","1","1","273.0625"
"61","1","3","-27","-2","2","1","273.0625"
"61","-2","-3","-21","-2","2","1","273.0625"
"61","-2","-3","-21","-1","2","1","273.0625"
"62","-2","0","-26","-1","2","1","273.0625"
"62","-2","0","-26","3","0","1","273.0625"
"62","-2","1","-28","3","0","1","273.0625"
"62","-2","1","-28","2","0","1","273.0625"
"62","-3","-2","-23","2","0","1","273.0625"
"62","-3","-2","-23","-1","1","1","273.0625"
"62","-5","0","-23","-1","1","1","273.0625"
"62","-5","0","-23","1","0","1","273.0625"
"62","-4","2","-28","1","0","1","273.0625"
"63","-4","2","-28","0","-1","1","273.0625"
"63","-2","0","-22","0","-1","1","273.0625"
"63","-2","0","-22","-2","-1","1","273.0625"
"63","-2","3","-27","-2","-1","1","273.0625"
"63","-2","3","-27","2","2","1","273.0625"
"63","-1","2","-27","2","2","1","273.0625"
"63","-1","2","-27","-2","-1","1","273.0625"
"63","-3","2","-24","-2","-1","1","273.0625"
"63","-3","2","-24","1","-1","1","273.0625"
"63","-2","6","-22","1","-1","1","273.0625"
"64","-2","6","-22","2","2","1","273.0625"
"64","0","2","-23","2","2","1","273.0625"
"64","0","2","-23","-4","0","1","273.0625"
"64","-2","0","-26","-4","0","1","273.0625"
"64","-2","0","-26","-2","-2","1","273.0625"
"64","-1","2","-24","-2","-2","1","273.0625"
"64","-1","2","-24","2","0","1","273.0625"
"64","0","0","-22","2","0","1","273.0625"
"64","0","0","-22","-1","-2","1","273.0625"
"65","-1","1","-24","-1","-2","1","273.0625"
"65","-1","1","-24","1","-1","1","273.0625"
"65","-1","2","-24","1","-1","1","273.0625"
"65","-1","2","-24","0","-2","1","273.0625"
"65","0","1","-26","0","-2","1","273.0625"
"65","0","1","-26","2","-2","1","273.0625"
"65","-2","2","-25","2","-2","1","273.0625"
"65","-2","2","-25","1","0","1","273.0625"
"66","0","3","-23","1","0","1","273.0625"
"66","0","3","-23","0","-1","1","273.0625"
"66","-1","1","-23","0","-1","1","273.0625"
"66","-1","1","-23","2","-1","1","273.0625"
"66","-3","5","-26","2","-1","1","273.0625"
"66","-3","5","-26","0","0","1","273.0625"
"66","-2","2","-28","0","0","1","273.0625"
"66","-2","2","-28","-1","1","1","273.0625"
"66","-2","3","-25","-1","1","1","273.0625"
"67","-2","3","-25","-2","-1","1","273.0625"
"67","-2","-5","-24","-2","-1","1","273.0625"
"67","-2","-5","-24","-1","-1","1","273.0625"
"67","-5","-2","-25","-1","-1","1","273.0625"
"67","-5","-2","-25","0","1","1","273.0625"
"67","-2","0","-23","0","1","1","273.0625"
"67","-2","0","-23","0","-1","1","273.0625"
"67","-1","0","-25","0","-1","1","273.0625"
"67","-1","0","-25","1","2","1","273.0625"
"67","-3","0","-24","1","2","1","273.0625"
"68","-3","0","-24","0","0","1","273.0625"
"68","-1","0","-25","0","0","1","273.0625"
"68","-1","0","-25","1","-2","1","273.0625"
"68","0","1","-24","1","-2","1","273.0625"
"68","0","1","-24","0","-1","1","273.0625"
"68","-1","2","-27","0","-1","1","273.0625"
"68","-1","2","-27","-3","2","1","273.0625"
"68","-1","6","-27","-3","2","1","273.0625"
"68","-1","6","-27","2","1","1","273.0625"
"68","0","9","-24","2","1","1","273.0625"
"69","0","9","-24","1","-3","1","273.0625"
"69","-4","0","-23","1","-3","1","273.0625"
"69","-4","0","-23","-5","-1","1","273.0625"
"69","-1","0","-25","-5","-1","1","273.0625"
"69","-1","0","-25","-3","1","1","273.0625"
"69","-1","2","-26","-3","1","1","273.0625"
"69","-1","2","-26","2","-1","1","273.0625"
"69","0","5","-24","2","-1","1","273.0625"
"69","0","5","-24","-1","-3","1","273.0625"
"70","-2","1","-24","-1","-3","1","273.0625"
"70","-2","1","-24","-2","-1","1","273.0625"
"70","-3","-3","-22","-2","-1","1","273.0625"
"70","-3","-3","-22","1","-1","1","273.0625"
"70","-2","0","-26","1","-1","1","273.0625"
"70","-2","0","-26","-1","1","1","273.0625"
"70","-4","1","-25","-1","1","1","273.0625"
"70","-4","1","-25","4","-2","1","273.0625"
"71","-2","0","-24","4","-2","1","273.0625"
"71","-2","0","-24","4","1","1","273.0625"
"71","-4","-1","-26","4","1","1","273.0625"
"71","-4","-1","-26","2","-2","1","273.0625"
"71","-3","0","-23","2","-2","1","273.0625"
"71","-3","0","-23","-4","-2","1","273.0625"
"71","-1","-1","-21","-4","-2","1","273.0625"
"72","-1","-1","-21","-2","-1","1","273.0625"
"72","-1","-2","-25","-2","-1","1","273.0625"
"72","-1","-2","-25","0","-1","1","273.0625"
"72","-3","-6","-28","0","-1","1","273.0625"
"72","-3","-6","-28","2","0","1","273.0625"
"72","0","3","-28","2","0","1","273.0625"
"72","0","3","-28","-1","1","1","273.0625"
"72","0","3","-23","-1","1","1","273.0625"
"72","0","3","-23","4","-3","1","273.0625"
"73","0","2","-22","4","-3","1","273.0625"
"73","0","2","-22","3","1","1","273.0625"
"73","-4","3","-26","3","1","1","273.0625"
"73","-4","3","-26","-1","0","1","273.0625"
"73","-1","7","-27","-1","0","1","273.0625"
"73","-1","7","-27","1","1","1","273.0625"
"73","-1","6","-27","1","1","1","273.0625"
"73","-1","6","-27","-1","-2","1","273.0625"
"73","-2","3","-24","-1","-2","1","273.0625"
"73","-2","3","-24","-2","-1","1","273.0625"
"74","-1","1","-22","-2","-1","1","273.0625"
"74","-1","1","-22","2","0","1","273.0625"
"74","-2","0","-25","2","0","1","273.0625"
"74","-2","0","-25","0","1","1","273.0625"
"74","-2","0","-28","0","1","1","273.0625"
"74","-2","0","-28","0","1","1","273.0625"
"74","-1","0","-27","0","1","1","273.0625"
"74","-1","0","-27","-1","0","1","273.0625"
"74","-2","0","-23","-1","0","1","273.0625"
"74","-2","0","-23","-3","-2","1","273.0625"
"75","-1","0","-24","-3","-2","1","273.0625"
"75","-1","0","-24","0","0","1","273.0625"
"75","-4","-5","-23","0","0","1","273.0625"
"75","-4","-5","-23","0","4","1","273.0625"
"75","-1","-1","-27","0","4","1","273.0625"
"75","-1","-1","-27","0","1","1","273.0625"
"75","-3","0","-26","0","1","1","273.0625"
"75","-3","0","-26","1","0","1","273.0625"
"75","-3","0","-24","1","0","1","273.0625"
"76","-3","0","-24","-1","2","1","273.0625"
"76","-1","0","-26","-1","2","1","273.0625"
"76","-1","0","-26","0","0","1","273.0625"
"76","0","6","-25","0","0","1","273.0625"
"76","0","6","-25","1","0","1","273.0625"
"76","0","5","-25","1","0","1","273.0625"
"76","0","5","-25","0","1","1","273.0625"
"76","-1","6","-26","0","1","1","273.0625"
"76","-1","6","-26","-2","-1","1","273.0625"
"77","0","5","-23","-2","-1","1","273.0625"
"77","0","5","-23","1","2","1","273.0625"
"77","0","5","-25","1","2","1","273.0625"
"77","0","5","-25","0","1","1","273.0625"
"77","1","4","-23","0","1","1","273.0625"
"77","1","4","-23","1","-3","1","273.0625"
"77","-1","0","-26","1","-3","1","273.0625"
"77","-1","0","-26","1","0","1","273.0625"
"77","-2","-2","-25","1","0","1","273.0625"
"77","-2","-2","-25","-4","3","1","273.0625"
"78","-4","-3","-23","-4","3","1","273.0625"
"78","-4","-3","-23","-3","3","1","273.0625"
"78","-4","0","-23","-3","3","1","273.0625"
"78","-4","0","-23","1","5","1","273.0625"
"78","-6","-2","-26","1","5","1","273.0625"
"78","-6","-2","-26","2","1","1","273.0625"
"78","-4","0","-27","2","1","1","273.0625"
"78","-4","0","-27","2","-1","1","273.0625"
"79","-3","0","-24","2","-1","1","273.0625"
"79","-3","0","-24","0","-2","1","273.0625"
"79","-5","3","-24","0","-2","1","273.0625"
"79","-5","3","-24","0","-2","1","273.0625"
"79","-5","2","-24","0","-2","1","273.0625"
"79","-5","2","-24","-1","1","1","273.0625"
"79","-1","2","-25","-1","1","1","273.0625"
"79","-1","2","-25","2","-3","1","273.0625"
"79","-1","4","-25","2","-3","1","273.0625"
"80","-1","4","-25","0","-1","1","273.0625"
"80","-2","3","-26","0","-1","1","273.0625"
"80","-2","3","-26","-1","-3","1","273.0625"
"80","0","4","-25","-1","-3","1","273.0625"
"80","0","4","-25","2","-2","1","273.0625"
"80","0","0","-24","2","-2","1","273.0625"
"80","0","0","-24","-1","-2","1","273.0625"
"80","3","0","-25","-1","-2","1","273.0625"
"80","3","0","-25","-1","1","1","273.0625"
"81","3","0","-27","-1","1","1","273.0625"
"81","3","0","-27","-1","1","1","273.0625"
"81","-1","0","-25","-1","1","1","273.0625"
"81","-1","0","-25","4","1","1","273.0625"
"81","0","0","-23","4","1","1","273.0625"
"81","0","0","-23","1","2","1","273.0625"
"81","0","0","-23","1","2","1","273.0625"
"82","0","0","-23","0","3","1","273.0625"
"82","0","0","-23","0","3","1","273.0625"
"82","0","0","-23","-1","2","1","273.0625"
"82","-3","1","-24","-1","2","1","273.0625"
"82","-3","1","-24","2","3","1","273.0625"
"82","-5","0","-24","2","3","1","273.0625"
"82","-5","0","-24","1","1","1","273.0625"
"83","-7","1","-26","1","1","1","273.0625"
"83","-7","1","-26","1","1","1","273.0625"
"83","-8","6","-27","1","1","1","273.0625"
"83","-8","6","-27","2","-1","1","273.0625"
"83","-8","1","-29","2","-1","1","273.0625"
"83","-8","1","-29","-2","1","1","273.0625"
"83","-7","1","-29","-2","1","1","273.0625"
"83","-7","1","-29","-2","-2","1","273.0625"
"83","-5","3","-27","-2","-2","1","273.0625"
"83","-5","3","-27","-1","0","1","273.0625"
"83","-2","0","-23","-1","0","1","273.0625"
"84","-2","0","-23","0","0","1","273.0625"
"84","-2","-2","-24","0","0","1","273.0625"
"84","-2","-2","-24","-2","0","1","273.0625"
"84","-1","1","-22","-2","0","1","273.0625"
"84","-1","1","-22","0","2","1","273.0625"
"84","0","3","-25","0","2","1","273.0625"
"84","0","3","-25","2","-2","1","273.0625"
"84","3","0","-25","2","-2","1","273.0625"
"84","3","0","-25","1","-1","1","273.0625"
"84","3","-2","-22","1","-1","1","273.0625"
"85","3","-2","-22","0","-2","1","273.0625"
"85","3","0","-25","0","-2","1","273.0625"
"85","3","0","-25","0","-2","1","273.0625"
"85","0","3","-22","0","-2","1","273.0625"
"85","0","3","-22","2","1","1","273.0625"
"85","1","1","-23","2","1","1","273.0625"
"85","1","1","-23","0","0","1","273.0625"
"85","1","2","-24","0","0","1","273.0625"
"85","1","2","-24","-1","1","1","273.0625"
"86","-2","0","-25","-1","1","1","273.0625"
"86","-2","0","-25","-4","1","1","273.0625"
"86","-3","0","-24","-4","1","1","273.0625"
"86","-3","0","-24","-2","1","1","273.0625"
"86","-1","2","-23","-2","1","1","273.0625"
"86","-1","2","-23","3","-2","1","273.0625"
"86","-3","2","-24","3","-2","1","273.0625"
"86","-3","2","-24","-1","0","1","273.0625"
"86","-9","0","-28","-1","0","1","273.0625"
"87","-9","0","-28","1","1","1","273.0625"
"87","-6","3","-24","1","1","1","273.0625"
"87","-6","3","-24","2","0","1","273.0625"
"87","-3","1","-23","2","0","1","273.0625"
"87","-3","1","-23","2","0","1","273.0625"
"87","-3","2","-25","2","0","1","273.0625"
"87","-3","2","-25","-2","-1","1","273.0625"
"87","0","4","-28","-2","-1","1","273.0625"
"87","0","4","-28","0","-2","1","273.0625"
"87","-1","1","-27","0","-2","1","273.0625"
"87","-1","1","-27","-2","4","1","273.0625"
"88","0","2","-26","-2","4","1","273.0625"
"88","0","2","-26","-1","1","1","273.0625"
"88","1","4","-24","-1","1","1","273.0625"
"88","1","4","-24","-1","1","1","273.0625"
"88","0","0","-22","-1","1","1","273.0625"
"88","0","0","-22","-1","-2","1","273.0625"
"88","1","2","-26","-1","-2","1","273.0625"
"89","1","2","-26","-3","-2","1","273.0625"
"89","0","0","-24","-3","-2","1","273.0625"
"89","0","0","-24","1","0","1","273.0625"
"89","-1","2","-25","1","0","1","273.0625"
"89","-1","2","-25","3","-2","1","273.0625"
"89","0","2","-23","3","-2","1","273.0625"
"89","0","2","-23","3","-2","1","273.0625"
"89","-2","-2","-24","3","-2","1","273.0625"
"89","-2","-2","-24","0","0","1","273.0625"
"89","-3","-1","-26","0","0","1","273.0625"
"90","-3","-1","-26","2","0","1","273.0625"
"90","-5","0","-28","2","0","1","273.0625"
"90","-5","0","-28","2","-1","1","273.0625"
"90","-1","0","-26","2","-1","1","273.0625"
"90","-1","0","-26","0","2","1","273.0625"
"90","-3","3","-27","0","2","1","273.0625"
"90","-3","3","-27","2","1","1","273.0625"
"90","-6","3","-25","2","1","1","273.0625"
"90","-6","3","-25","-1","1","1","273.0625"
"91","-1","0","-26","-1","1","1","273.0625"
"91","-1","0","-26","-2","0","1","273.0625"
"91","0","2","-23","-2","0","1","273.0625"
"91","0","2","-23","0","0","1","273.0625"
"91","0","4","-25","0","0","1","273.0625"
"91","0","4","-25","1","0","1","273.0625"
"91","0","4","-25","1","0","1","273.0625"
"92","0","4","-25","1","0","1","273.0625"
"92","-3","2","-27","1","0","1","273.0625"
"92","-3","2","-27","0","0","1","273.0625"
"92","-2","1","-26","0","0","1","273.0625"
"92","-2","1","-26","2","1","1","273.0625"
"92","-3","0","-27","2","1","1","273.0625"
"92","-3","0","-27","-3","1","1","273.0625"
"92","-1","0","-25","-3","1","1","273.0625"
"92","-1","0","-25","-3","-1","1","273.0625"
"92","-1","0","-25","-3","-1","1","273.0625"
"92","-1","0","-25","-3","-1","1","273.0625"
"93","0","0","-23","-3","-1","1","273.0625"
"93","0","0","-23","3","-1","1","273.0625"
"93","-1","-1","-27","3","-1","1","273.0625"
"93","-1","-1","-27","2","-1","1","273.0625"
"93","0","-1","-21","2","-1","1","273.0625"
"93","0","-1","-21","-2","2","1","273.0625"
"93","0","0","-24","-2","2","1","273.0625"
"94","0","0","-24","-4","1","1","273.0625"
"94","0","0","-24","-4","1","1","273.0625"
"94","0","0","-24","-4","1","1","273.0625"
"94","-5","2","-26","-4","1","1","273.0625"
"94","-5","2","-26","0","3","1","273.0625"
"94","-3","-2","-26","0","3","1","273.0625"
"94","-3","-2","-26","-1","2","1","273.0625"
"94","-2","0","-26","-1","2","1","273.0625"
"95","-2","0","-26","-2","1","1","273.0625"
"95","-2","3","-26","-2","1","1","273.0625"
"95","-2","3","-26","-1","-1","1","273.0625"
"95","-2","3","-26","-1","-1","1","273.0625"
"95","-2","3","-26","-1","-1","1","273.0625"
"95","-2","2","-26","-1","-1","1","273.0625"
"95","-2","2","-26","-2","3","1","273.0625"
"96","-2","1","-26","-2","3","1","273.0625"
"96","-2","1","-26","0","2","1","273.0625"
"96","-1","0","-28","0","2","1","273.0625"
"96","-1","0","-28","0","2","1","273.0625"
"96","-2","6","-24","0","2","1","273.0625"
"96","-2","6","-24","3","0","1","273.0625"
"96","-2","6","-24","3","0","1","273.0625"
"96","-2","6","-24","4","-1","1","273.0625"
"97","0","0","-21","4","-1","1","273.0625"
"97","0","0","-21","-1","-1","1","273.0625"
"97","-4","2","-26","-1","-1","1","273.0625"
"97","-4","2","-26","-2","2","1","273.0625"
"97","0","0","-25","-2","2","1","273.0625"
"97","0","0","-25","-2","3","1","273.0625"
"97","-1","-1","-26","-2","3","1","273.0625"
"97","-1","-1","-26","1","1","1","273.0625"
"97","-1","-1","-26","1","1","1","273.0625"
"97","-1","-1","-26","1","1","1","273.0625"
"98","-2","-4","-24","1","1","1","273.0625"
"98","-2","-4","-24","1","-1","1","273.0625"
"98","-1","-2","-23","1","-1","1","273.0625"
"98","-1","-2","-23","1","2","1","273.0625"
"98","0","2","-27","1","2","1","273.0625"
"98","0","2","-27","0","1","1","273.0625"
"98","-3","-3","-23","0","1","1","273.0625"
"99","-3","-3","-23","0","2","1","273.0625"
"99","-3","-3","-23","0","2","1","273.0625"
"99","-3","-3","-23","-1","-1","1","273.0625"
"99","-3","8","-25","-1","-1","1","273.0625"
"99","-3","8","-25","-1","1","1","273.0625"
"99","-2","0","-27","-1","1","1","273.0625"
"99","-2","0","-27","0","1","1","273.0625"
"99","-4","0","-23","0","1","1","273.0625"
"100","-4","0","-23","-1","1","1","273.0625"
"100","-2","3","-24","-1","1","1","273.0625"
"100","-2","3","-24","-1","1","1","273.0625"
"100","-2","3","-24","-1","1","1","273.0625"
"100","-2","3","-24","0","0","1","273.0625"
"100","0","5","-25","0","0","1","273.0625"
"100","0","5","-25","1","1","1","273.0625"
"100","-2","3","-24","1","1","1","273.0625"
"101","-2","3","-24","-2","3","1","273.0625"
"101","-5","0","-25","-2","3","1","273.0625"
"101","-5","0","-25","-3","0","1","273.0625"
"101","-3","0","-23","-3","0","1","273.0625"
"101","-3","0","-23","-4","-1","1","273.0625"
"101","-3","0","-23","-4","-1","1","273.0625"
"101","-3","0","-23","0","0","1","273.0625"
"101","-2","-2","-23","0","0","1","273.0625"
"102","-2","-2","-23","-1","-1","1","273.0625"
"102","-1","1","-25","-1","-1","1","273.0625"
"102","-1","1","-25","1","1","1","273.0625"
"102","-1","-3","-24","1","1","1","273.0625"
"102","-1","-3","-24","2","0","1","273.0625"
"102","-1","-8","-22","2","0","1","273.0625"
"102","-1","-8","-22","1","0","1","273.0625"
"102","-1","-8","-22","1","0","1","273.0625"
"103","-1","-8","-22","-1","-1","1","273.0625"
"103","-1","4","-25","-1","-1","1","273.0625"
"103","-1","4","-25","2","-1","1","273.0625"
"103","0","0","-23","2","-1","1","273.0625"
"103","0","0","-23","2","1","1","273.0625"
"103","0","3","-26","2","1","1","273.0625"
"103","0","3","-26","-1","3","1","273.0625"
"103","-2","1","-22","-1","3","1","273.0625"
"104","-2","1","-22","1","1","1","273.0625"
"104","-2","1","-22","1","1","1","273.0625"
"104","-2","1","-22","2","0","1","273.0625"
"104","-3","6","-25","2","0","1","273.0625"
"104","-3","6","-25","2","0","1","273.0625"
"104","-1","5","-24","2","0","1","273.0625"
"105","-1","5","-24","0","-1","1","273.0625"
"105","-4","4","-25","0","-1","1","273.0625"
"105","-4","4","-25","0","0","1","273.0625"
"105","-4","3","-23","0","0","1","273.0625"
"105","-4","3","-23","2","-1","1","273.0625"
"105","-4","3","-23","2","-1","1","273.0625"
"105","-4","3","-23","0","1","1","273.0625"
"105","-1","0","-27","0","1","1","273.0625"
"106","-1","0","-27","-3","-2","1","273.0625"
"106","-1","0","-27","-3","-2","1","273.0625"
"106","-1","0","-27","2","0","1","273.0625"
"106","-4","-1","-23","2","0","1","273.0625"
"106","-4","-1","-23","-1","-2","1","273.0625"
"106","0","0","-25","-1","-2","1","273.0625"
"106","0","0","-25","-1","0","1","273.0625"
"107","0","0","-25","-1","0","1","273.0625"
"107","0","0","-25","0","-2","1","273.0625"
"107","-2","-8","-25","0","-2","1","273.0625"
"107","-2","-8","-25","1","1","1","273.0625"
"107","0","0","-23","1","1","1","273.0625"
"107","0","0","-23","-4","2","1","273.0625"
"107","-1","7","-24","-4","2","1","273.0625"
"107","-1","7","-24","3","0","1","273.0625"
"108","-1","3","-23","3","0","1","273.0625"
"108","-1","3","-23","3","1","1","273.0625"
"108","-1","3","-23","3","1","1","273.0625"
"108","-1","3","-23","1","0","1","273.0625"
"108","-5","2","-26","1","0","1","273.0625"
"108","-5","2","-26","1","1","1","273.0625"
"108","-2","8","-25","1","1","1","273.0625"
"108","-2","8","-25","0","1","1","273.0625"
"109","-3","7","-25","0","1","1","273.0625"
"109","-3","7","-25","3","1","1","273.0625"
"109","-1","4","-25","3","1","1","273.0625"
"109","-1","4","-25","-3","1","1","273.0625"
"109","-1","4","-25","-3","1","1","273.0625"
"109","-1","4","-25","-4","-1","1","273.0625"
"109","-2","2","-24","-4","-1","1","273.0625"
"110","-2","2","-24","0","-2","1","273.0625"
"110","-2","-5","-25","0","-2","1","273.0625"
"110","-2","-5","-25","-4","2","1","273.0625"
"110","-1","1","-27","-4","2","1","273.0625"
"110","-1","1","-27","-1","1","1","273.0625"
"110","-2","2","-23","-1","1","1","273.0625"
"110","-2","2","-23","-2","1","1","273.0625"
"110","-2","2","-23","-2","1","1","273.0625"
"111","-2","2","-23","1","-1","1","273.0625"
"111","-2","-1","-25","1","-1","1","273.0625"
"111","-2","-1","-25","1","2","1","273.0625"
"111","0","0","-28","1","2","1","273.0625"
"111","0","0","-28","0","0","1","273.0625"
