Timer,AX,AY,AZ,GX,GY,GZ,A
"4.95","0","2","-22","2","-4","-1","265.8125"
"9.9","0","2","-22","1","0","-1","265.8125"
"14.85","0","0","-25","1","0","-1","265.8125"
"19.8","0","0","-25","1","2","-1","265.8125"
"24.75","0","0","-27","1","2","-1","265.8125"
"29.7","0","0","-27","1","0","-1","265.8125"
"34.65","0","-1","-27","1","0","-1","265.8125"
"39.6","0","-1","-27","1","-1","-1","265.8125"
"44.55","0","1","-25","1","-1","-1","265.8125"
"49.5","0","1","-25","2","-1","-1","265.8125"
"54.45","-1","4","-24","2","-1","-1","265.8125"
"59.4","-1","4","-24","0","-1","-1","265.8125"
"64.35","0","0","-26","0","-1","-1","265.8125"
"69.3","0","0","-26","1","-2","-1","265.8125"
"74.25","0","3","-21","1","-2","-1","265.8125"
"79.2","0","3","-21","1","-1","-1","265.8125"
"84.15","-1","3","-27","1","-1","-1","265.8125"
"89.1","-1","3","-27","-1","-1","-1","265.8125"
"94.05","-2","4","-25","-1","-1","-1","265.8125"
"99","-2","4","-25","0","-1","-1","265.8125"
"104.85","0","3","-25","0","-1","-1","265.8125"
"109.7","0","3","-25","-1","-1","-1","265.8125"
"114.55","0","0","-23","-1","-1","-1","265.8125"
"119.4","0","0","-23","-2","3","-1","265.8125"
"124.25","1","0","-24","-2","3","-1","265.8125"
"129.1","1","0","-24","-1","0","-1","265.8125"
"133.95","2","0","-27","-1","0","-1","265.8125"
"138.8","2","0","-27","-1","-2","-1","265.8125"
"143.65","3","5","-24","-1","-2","-1","265.8125"
"148.5","3","5","-24","1","0","-1","265.8125"
"153.35","4","0","-24","1","0","-1","265.8125"
"158.2","4","0","-24","1","0","-1","265.8125"
"163.05","5","0","-22","1","0","-1","265.8125"
"167.9","5","0","-22","-3","1","-1","265.8125"
"172.75","2","0","-24","-3","1","-1","265.8125"
"177.6","2","0","-24","3","1","-1","265.8125"
"182.45","4","3","-24","3","1","-1","265.8125"
"187.3","4","3","-24","0","-1","-1","265.8125"
"192.15","0","2","-26","0","-1","-1","265.8125"
"197","0","2","-26","0","0","-1","265.8125"
"204.95","1","1","-22","0","0","-1","265.8125"
"209.9","1","1","-22","1","1","-1","265.8125"
"214.85","-1","0","-23","1","1","-1","265.8125"
"219.8","-1","0","-23","-1","0","-1","265.8125"
"224.75","0","2","-25","-1","0","-1","265.8125"
"229.7","0","2","-25","1","1","-1","265.8125"
"234.65","0","6","-26","1","1","-1","265.8125"
"239.6","0","6","-26","2","1","-1","265.8125"
"244.55","-1","1","-23","2","1","-1","265.8125"
"249.5","-1","1","-23","0","1","-1","265.8125"
"254.45","-4","0","-24","0","1","-1","265.8125"
"259.4","-4","0","-24","3","-1","-1","265.8125"
"264.35","-3","4","-26","3","-1","-1","265.8125"
"269.3","-3","4","-26","-1","-2","-1","265.8125"
"274.25","-1","1","-26","-1","-2","-1","265.8125"
"279.2","-1","1","-26","-2","1","-1","265.8125"
"284.15","0","1","-27","-2","1","-1","265.8125"
"289.1","0","1","-27","1","0","-1","265.8125"
"294.05","2","0","-27","1","0","-1","265.8125"
"299","2","0","-27","0","0","-1","265.8125"
"304.9","0","1","-22","0","0","-1","265.8125"
"309.8","0","1","-22","3","1","-1","265.8125"
"314.7","3","0","-23","3","1","-1","265.8125"
"319.6","3","0","-23","4","-2","-1","265.8125"
"324.5","1","1","-25","4","-2","-1","265.8125"
"329.4","1","1","-25","0","-2","-1","265.8125"
"334.3","2","1","-27","0","-2","-1","265.8125"
"339.2","2","1","-27","0","-2","-1","265.8125"
"344.1","3","1","-25","0","-2","-1","265.8125"
"349","3","1","-25","-2","0","-1","265.8125"
"353.9","2","1","-24","-2","0","-1","265.8125"
"358.8","2","1","-24","1","0","-1","265.8125"
"363.7","0","2","-23","1","0","-1","265.8125"
"368.6","0","2","-23","0","-2","-1","265.8125"
"373.5","0","0","-27","0","-2","-1","265.8125"
"378.4","0","0","-27","1","-2","-1","265.8125"
"383.3","0","1","-25","1","-2","-1","265.8125"
"388.2","0","1","-25","1","3","-1","265.8125"
"393.1","0","3","-25","1","3","-1","265.8125"
"398","0","3","-25","2","1","-1","265.8125"
"405.05263","-2","2","-25","2","1","-1","265.8125"
"410.10526","-2","2","-25","3","-1","-1","265.8125"
"415.15789","-1","0","-25","3","-1","-1","265.8125"
"420.21053","-1","0","-25","-1","-3","-1","265.8125"
"425.26316","-3","3","-24","-1","-3","-1","265.8125"
"430.31579","-3","3","-24","-2","1","-1","265.8125"
"435.36842","-3","2","-28","-2","1","-1","265.8125"
"440.42105","-3","2","-28","2","-1","-1","265.8125"
"445.47368","-1","1","-26","2","-1","-1","265.8125"
"450.52632","-1","1","-26","0","-2","-1","265.8125"
"455.57895","0","2","-24","0","-2","-1","265.8125"
"460.63158","0","2","-24","-2","-3","-1","265.8125"
"465.68421","-1","2","-24","-2","-3","-1","265.8125"
"470.73684","-1","2","-24","-1","0","-1","265.8125"
"475.78947","1","2","-25","-1","0","-1","265.8125"
"480.84211","1","2","-25","1","-1","-1","265.8125"
"485.89474","0","1","-24","1","-1","-1","265.8125"
"490.94737","0","1","-24","-1","0","-1","265.8125"
"496","2","0","-24","-1","0","-1","265.8125"
"500","2","0","-24","-4","-1","-1","265.8125"
"504.95","0","0","-24","-4","-1","-1","265.8125"
"509.9","0","0","-24","-3","0","-1","265.8125"
"514.85","0","0","-22","-3","0","-1","265.8125"
"519.8","0","0","-22","-2","0","-1","265.8125"
"524.75","0","0","-23","-2","0","-1","265.8125"
"529.7","0","0","-23","0","1","-1","265.8125"
"534.65","1","2","-26","0","1","-1","265.8125"
"539.6","1","2","-26","1","2","-1","265.8125"
"544.55","1","1","-26","1","2","-1","265.8125"
"549.5","1","1","-26","0","0","-1","265.8125"
"554.45","1","0","-21","0","0","-1","265.8125"
"559.4","1","0","-21","-1","1","-1","265.8125"
"564.35","-1","3","-24","-1","1","-1","265.8125"
"569.3","-1","3","-24","2","1","-1","265.8125"
"574.25","2","2","-26","2","1","-1","265.8125"
"579.2","2","2","-26","0","1","-1","265.8125"
"584.15","0","0","-25","0","1","-1","265.8125"
"589.1","0","0","-25","1","0","-1","265.8125"
"594.05","-1","2","-25","1","0","-1","265.8125"
"599","-1","2","-25","3","-1","-1","265.8125"
"605.10526","-2","3","-25","3","-1","-1","265.8125"
"610.21053","-2","3","-25","0","-3","-1","265.8125"
"615.31579","0","0","-23","0","-3","-1","265.8125"
"620.42105","0","0","-23","2","-1","-1","265.8125"
"625.52632","0","0","-24","2","-1","-1","265.8125"
"630.63158","0","0","-24","-2","0","-1","265.8125"
"635.73684","-1","1","-30","-2","0","-1","265.8125"
"640.84211","-1","1","-30","0","-1","-1","265.8125"
"645.94737","0","0","-26","0","-1","-1","265.8125"
"651.05263","0","0","-26","-1","0","-1","265.8125"
"656.15789","0","1","-27","-1","0","-1","265.8125"
"661.26316","0","1","-27","0","-2","-1","265.8125"
"666.36842","0","1","-21","0","-2","-1","265.8125"
"671.47368","0","1","-21","1","2","-1","265.8125"
"676.57895","0","1","-24","1","2","-1","265.8125"
"681.68421","0","1","-24","2","-2","-1","265.8125"
"686.78947","2","0","-26","2","-2","-1","265.8125"
"691.89474","2","0","-26","-3","-2","-1","265.8125"
"697","2","0","-23","-3","-2","-1","265.8125"
"704.71429","2","0","-23","-1","0","-1","265.8125"
"709.42857","3","4","-22","-1","0","-1","265.8125"
"714.14286","3","4","-22","2","3","-1","265.8125"
"718.85714","3","4","-25","2","3","-1","265.8125"
"723.57143","3","4","-25","2","-1","-1","265.8125"
"728.28571","3","2","-27","2","-1","-1","265.8125"
"733","3","2","-27","1","0","-1","265.8125"
"737.71429","0","1","-27","1","0","-1","265.8125"
"742.42857","0","1","-27","2","1","-1","265.8125"
"747.14286","1","2","-23","2","1","-1","265.8125"
"751.85714","1","2","-23","-2","1","-1","265.8125"
"756.57143","1","0","-23","-2","1","-1","265.8125"
"761.28571","1","0","-23","-4","4","-1","265.8125"
"766","-1","0","-23","-4","4","-1","265.8125"
"770.71429","-1","0","-23","-1","3","-1","265.8125"
"775.42857","0","2","-25","-1","3","-1","265.8125"
"780.14286","0","2","-25","4","-1","-1","265.8125"
"784.85714","0","3","-26","4","-1","-1","265.8125"
"789.57143","0","3","-26","4","-2","-1","265.8125"
"794.28571","0","0","-23","4","-2","-1","265.8125"
"799","0","0","-23","0","0","-1","265.8125"
"805.10526","-2","1","-25","0","0","-1","265.8125"
"810.21053","-2","1","-25","3","0","-1","265.8125"
"815.31579","-1","5","-26","3","0","-1","265.8125"
"820.42105","-1","5","-26","0","0","-1","265.8125"
"825.52632","-1","4","-24","0","0","-1","265.8125"
"830.63158","-1","4","-24","1","1","-1","265.8125"
"835.73684","0","1","-26","1","1","-1","265.8125"
"840.84211","0","1","-26","0","1","-1","265.8125"
"845.94737","0","0","-24","0","1","-1","265.8125"
"851.05263","0","0","-24","2","0","-1","265.8125"
"856.15789","0","3","-26","2","0","-1","265.8125"
"861.26316","0","3","-26","3","-2","-1","265.8125"
"866.36842","2","1","-21","3","-2","-1","265.8125"
"871.47368","2","1","-21","-5","1","-1","265.8125"
"876.57895","2","-5","-24","-5","1","-1","265.8125"
"881.68421","2","-5","-24","-4","2","-1","265.8125"
"886.78947","-1","-2","-28","-4","2","-1","265.8125"
"891.89474","-1","-2","-28","-4","0","-1","265.8125"
"897","0","2","-25","-4","0","-1","265.8125"
"904.78947","0","2","-25","1","1","-1","265.8125"
"909.57895","0","1","-25","1","1","-1","265.8125"
"914.36842","0","1","-25","0","-3","-1","265.8125"
"919.15789","0","0","-22","0","-3","-1","265.8125"
"923.94737","0","0","-22","-1","-2","-1","265.8125"
"928.73684","3","2","-23","-1","-2","-1","265.8125"
"933.52632","3","2","-23","-1","-2","-1","265.8125"
"938.31579","0","3","-27","-1","-2","-1","265.8125"
"943.10526","0","3","-27","1","-2","-1","265.8125"
"947.89474","0","3","-26","1","-2","-1","265.8125"
"952.68421","0","3","-26","-3","1","-1","265.8125"
"957.47368","-1","3","-25","-3","1","-1","265.8125"
"962.26316","-1","3","-25","0","3","-1","265.8125"
"967.05263","0","4","-24","0","3","-1","265.8125"
"971.84211","0","4","-24","2","4","-1","265.8125"
"976.63158","0","5","-26","2","4","-1","265.8125"
"981.42105","0","5","-26","2","1","-1","265.8125"
"986.21053","0","3","-27","2","1","-1","265.8125"
"991","0","3","-27","-1","1","-1","265.8125"
"1000","3","-1","-26","-1","1","-1","265.8125"
"1000","3","-1","-26","0","-1","-1","265.8125"
"1005.15789","0","0","-23","0","-1","-1","265.8125"
"1010.31579","0","0","-23","1","-2","-1","265.8125"
"1015.47368","0","-2","-25","1","-2","-1","265.8125"
"1020.63158","0","-2","-25","1","0","-1","265.8125"
"1025.78947","3","-1","-23","1","0","-1","265.8125"
"1030.94737","3","-1","-23","4","-1","-1","265.8125"
"1036.10526","0","-1","-25","4","-1","-1","265.8125"
"1041.26316","0","-1","-25","1","1","-1","265.8125"
"1046.42105","0","0","-26","1","1","-1","265.8125"
"1051.57895","0","0","-26","2","0","-1","265.8125"
"1056.73684","-1","-2","-26","2","0","-1","265.8125"
"1061.89474","-1","-2","-26","1","1","-1","265.8125"
"1067.05263","-2","-2","-23","1","1","-1","265.8125"
"1072.21053","-2","-2","-23","4","0","-1","265.8125"
"1077.36842","0","5","-25","4","0","-1","265.8125"
"1082.52632","0","5","-25","6","1","-1","265.8125"
"1087.68421","-1","5","-27","6","1","-1","265.8125"
"1092.84211","-1","5","-27","2","0","-1","265.8125"
"1098","0","4","-26","2","0","-1","265.8125"
"1104.84211","0","4","-26","2","-1","-1","265.8125"
"1109.68421","0","0","-20","2","-1","-1","265.8125"
"1114.52632","0","0","-20","-1","-1","-1","265.8125"
"1119.36842","0","4","-25","-1","-1","-1","265.8125"
"1124.21053","0","4","-25","2","-3","-1","265.8125"
"1129.05263","-3","5","-26","2","-3","-1","265.8125"
"1133.89474","-3","5","-26","-1","-2","-1","265.8125"
"1138.73684","0","-1","-24","-1","-2","-1","265.8125"
"1143.57895","0","-1","-24","-2","-1","-1","265.8125"
"1148.42105","-1","1","-23","-2","-1","-1","265.8125"
"1153.26316","-1","1","-23","-3","-2","-1","265.8125"
"1158.10526","-4","0","-25","-3","-2","-1","265.8125"
"1162.94737","-4","0","-25","-1","-1","-1","265.8125"
"1167.78947","-22","-2","-25","-1","-1","-1","265.8125"
"1172.63158","-22","-2","-25","-2","1","-1","265.8125"
"1177.47368","73","-4","25","-2","1","-1","265.8125"
"1182.31579","73","-4","25","4","-11","-1","265.8125"
"1187.15789","-3","-5","-6","4","-11","-1","265.8125"
"1192","-3","-5","-6","2","-5","-1","265.8125"
"1204.71429","-18","-3","-54","2","-5","-1","265.8125"
"1209.42857","-18","-3","-54","-4","8","-1","265.8125"
"1214.14286","71","-22","19","-4","8","-1","265.8125"
"1218.85714","71","-22","19","3","-6","-1","265.8125"
"1223.57143","-17","-2","-25","3","-6","-1","265.8125"
"1228.28571","-17","-2","-25","-5","-9","-1","265.8125"
"1233","28","3","-20","-5","-9","-1","265.8125"
"1237.71429","28","3","-20","9","-3","-1","265.8125"
"1242.42857","-26","25","-37","9","-3","-1","265.8125"
"1247.14286","-26","25","-37","3","1","-1","265.8125"
"1251.85714","0","-9","-22","3","1","-1","265.8125"
"1256.57143","0","-9","-22","-5","-5","-1","265.8125"
"1261.28571","30","-8","-12","-5","-5","-1","265.8125"
"1266","30","-8","-12","-1","-3","-1","265.8125"
"1270.71429","10","15","-24","-1","-3","-1","265.8125"
"1275.42857","10","15","-24","7","2","-1","265.8125"
"1280.14286","-6","7","-27","7","2","-1","265.8125"
"1284.85714","-6","7","-27","2","2","-1","265.8125"
"1289.57143","5","-9","-30","2","2","-1","265.8125"
"1294.28571","5","-9","-30","-5","2","-1","265.8125"
"1299","7","-17","-20","-5","2","-1","265.8125"
"1304.89474","7","-17","-20","-6","0","-1","265.8125"
"1309.78947","-3","23","-28","-6","0","-1","265.8125"
"1314.68421","-3","23","-28","9","0","-1","265.8125"
"1319.57895","-11","-7","-31","9","0","-1","265.8125"
"1324.47368","-11","-7","-31","0","6","-1","265.8125"
"1329.36842","-1","-26","-18","0","6","-1","265.8125"
"1334.26316","-1","-26","-18","-10","1","-1","265.8125"
"1339.15789","-5","4","-30","-10","1","-1","265.8125"
"1344.05263","-5","4","-30","8","-4","-1","265.8125"
"1348.94737","-17","4","-30","8","-4","-1","265.8125"
"1353.84211","-17","4","-30","1","1","-1","265.8125"
"1358.73684","-13","-14","-24","1","1","-1","265.8125"
"1363.63158","-13","-14","-24","-10","-1","-1","265.8125"
"1368.52632","-13","3","-31","-10","-1","-1","265.8125"
"1373.42105","-13","3","-31","2","-1","-1","265.8125"
"1378.31579","-5","9","-28","2","-1","-1","265.8125"
"1383.21053","-5","9","-28","1","-4","-1","265.8125"
"1388.10526","11","4","-22","1","-4","-1","265.8125"
"1393","11","4","-22","-2","-2","-1","265.8125"
"1404.71429","4","7","-24","-2","-2","-1","265.8125"
"1409.42857","4","7","-24","-4","-2","-1","265.8125"
"1414.14286","8","-2","-22","-4","-2","-1","265.8125"
"1418.85714","8","-2","-22","-6","-5","-1","265.8125"
"1423.57143","15","0","-20","-6","-5","-1","265.8125"
"1428.28571","15","0","-20","-1","-4","-1","265.8125"
"1433","7","4","-24","-1","-4","-1","265.8125"
"1437.71429","7","4","-24","5","-2","-1","265.8125"
"1442.42857","8","-8","-21","5","-2","-1","265.8125"
"1447.14286","8","-8","-21","-1","3","-1","265.8125"
"1451.85714","12","-1","-24","-1","3","-1","265.8125"
"1456.57143","12","-1","-24","-1","0","-1","265.8125"
"1461.28571","6","3","-22","-1","0","-1","265.8125"
"1466","6","3","-22","5","-2","-1","265.8125"
"1470.71429","4","-4","-21","5","-2","-1","265.8125"
"1475.42857","4","-4","-21","0","1","-1","265.8125"
"1480.14286","-2","-3","-27","0","1","-1","265.8125"
"1484.85714","-2","-3","-27","2","2","-1","265.8125"
"1489.57143","-3","7","-26","2","2","-1","265.8125"
"1494.28571","-3","7","-26","4","1","-1","265.8125"
"1499","-6","6","-28","4","1","-1","265.8125"
"1500","-6","6","-28","1","3","-1","265.8125"
"1505","-5","3","-27","1","3","-1","265.8125"
"1510","-5","3","-27","3","0","-1","265.8125"
"1515","-11","7","-29","3","0","-1","265.8125"
"1520","-11","7","-29","2","-1","-1","265.8125"
"1525","-8","8","-30","2","-1","-1","265.8125"
"1530","-8","8","-30","3","1","-1","265.8125"
"1535","-2","4","-29","3","1","-1","265.8125"
"1540","-2","4","-29","-1","-1","-1","265.8125"
"1545","-3","3","-25","-1","-1","-1","265.8125"
"1550","-3","3","-25","-4","0","-1","265.8125"
"1555","-3","3","-26","-4","0","-1","265.8125"
"1560","-3","3","-26","-1","0","-1","265.8125"
"1565","0","0","-23","-1","0","-1","265.8125"
"1570","0","0","-23","-1","0","-1","265.8125"
"1575","2","-3","-25","-1","0","-1","265.8125"
"1580","2","-3","-25","-3","-1","-1","265.8125"
"1585","1","-3","-26","-3","-1","-1","265.8125"
"1590","1","-3","-26","1","-2","-1","265.8125"
"1604.6","6","-3","-22","1","-2","-1","265.8125"
"1609.2","6","-3","-22","-1","-1","-1","265.8125"
"1613.8","8","-1","-21","-1","-1","-1","265.8125"
"1618.4","8","-1","-21","-3","-1","-1","265.8125"
"1623","7","-4","-22","-3","-1","-1","265.8125"
"1627.6","7","-4","-22","-3","-1","-1","265.8125"
"1632.2","3","-4","-22","-3","-1","-1","265.8125"
"1636.8","3","-4","-22","1","1","-1","265.8125"
"1641.4","1","1","-26","1","1","-1","265.8125"
"1646","1","1","-26","3","2","-1","265.8125"
"1650.6","2","6","-26","3","2","-1","265.8125"
"1655.2","2","6","-26","5","-1","-1","265.8125"
"1659.8","2","0","-26","5","-1","-1","265.8125"
"1664.4","2","0","-26","2","-1","-1","265.8125"
"1669","0","3","-25","2","-1","-1","265.8125"
"1673.6","0","3","-25","2","-1","-1","265.8125"
"1678.2","-1","2","-27","2","-1","-1","265.8125"
"1682.8","-1","2","-27","1","0","-1","265.8125"
"1687.4","-3","6","-25","1","0","-1","265.8125"
"1692","-3","6","-25","2","1","-1","265.8125"
"1700","-5","4","-27","2","1","-1","265.8125"
"1700","-5","4","-27","0","-1","-1","265.8125"
"1705.21053","-3","0","-25","0","-1","-1","265.8125"
"1710.42105","-3","0","-25","0","0","-1","265.8125"
"1715.63158","0","2","-25","0","0","-1","265.8125"
"1720.84211","0","2","-25","0","0","-1","265.8125"
"1726.05263","-1","1","-25","0","0","-1","265.8125"
"1731.26316","-1","1","-25","4","-3","-1","265.8125"
"1736.47368","-3","-2","-28","4","-3","-1","265.8125"
"1741.68421","-3","-2","-28","2","-1","-1","265.8125"
"1746.89474","-1","-1","-28","2","-1","-1","265.8125"
"1752.10526","-1","-1","-28","1","-2","-1","265.8125"
"1757.31579","3","0","-21","1","-2","-1","265.8125"
"1762.52632","3","0","-21","0","-2","-1","265.8125"
"1767.73684","3","0","-21","0","-2","-1","265.8125"
"1772.94737","3","0","-21","0","-2","-1","265.8125"
"1778.15789","5","0","-22","0","-2","-1","265.8125"
"1783.36842","5","0","-22","0","-2","-1","265.8125"
"1788.57895","3","-1","-26","0","-2","-1","265.8125"
"1793.78947","3","-1","-26","1","0","-1","265.8125"
"1799","4","0","-30","1","0","-1","265.8125"
"1804.89474","4","0","-30","1","2","-1","265.8125"
"1809.78947","0","0","-23","1","2","-1","265.8125"
"1814.68421","0","0","-23","0","0","-1","265.8125"
"1819.57895","0","0","-23","0","0","-1","265.8125"
"1824.47368","0","0","-23","0","0","-1","265.8125"
"1829.36842","1","2","-25","0","0","-1","265.8125"
"1834.26316","1","2","-25","2","2","-1","265.8125"
"1839.15789","0","0","-28","2","2","-1","265.8125"
"1844.05263","0","0","-28","1","5","-1","265.8125"
"1848.94737","0","2","-26","1","5","-1","265.8125"
"1853.84211","0","2","-26","3","-1","-1","265.8125"
"1858.73684","-4","5","-25","3","-1","-1","265.8125"
"1863.63158","-4","5","-25","3","-1","-1","265.8125"
"1868.52632","-4","5","-25","3","-1","-1","265.8125"
"1873.42105","-4","5","-25","5","2","-1","265.8125"
"1878.31579","0","8","-24","5","2","-1","265.8125"
"1883.21053","0","8","-24","0","-3","-1","265.8125"
"1888.10526","-1","-10","-22","0","-3","-1","265.8125"
"1893","-1","-10","-22","0","-3","-1","265.8125"
"1904.71429","-1","2","-23","0","-3","-1","265.8125"
"1909.42857","-1","2","-23","3","0","-1","265.8125"
"1914.14286","-1","8","-29","3","0","-1","265.8125"
"1918.85714","-1","8","-29","5","-3","-1","265.8125"
"1923.57143","-1","8","-29","5","-3","-1","265.8125"
"1928.28571","-1","8","-29","5","-3","-1","265.8125"
"1933","2","5","-24","5","-3","-1","265.8125"
"1937.71429","2","5","-24","0","0","-1","265.8125"
"1942.42857","0","3","-24","0","0","-1","265.8125"
"1947.14286","0","3","-24","4","0","-1","265.8125"
"1951.85714","1","-3","-23","4","0","-1","265.8125"
"1956.57143","1","-3","-23","2","-1","-1","265.8125"
"1961.28571","0","3","-24","2","-1","-1","265.8125"
"1966","0","3","-24","-5","0","-1","265.8125"
"1970.71429","0","3","-24","-5","0","-1","265.8125"
"1975.42857","0","3","-24","0","0","-1","265.8125"
"1980.14286","1","0","-23","0","0","-1","265.8125"
"1984.85714","1","0","-23","0","-1","-1","265.8125"
"1989.57143","0","2","-26","0","-1","-1","265.8125"
"1994.28571","0","2","-26","-3","-3","-1","265.8125"
"1999","0","-2","-20","-3","-3","-1","265.8125"
"2004.89474","0","-2","-20","-1","-1","-1","265.8125"
"2009.78947","1","0","-26","-1","-1","-1","265.8125"
"2014.68421","1","0","-26","1","-3","-1","265.8125"
"2019.57895","1","0","-26","1","-3","-1","265.8125"
"2024.47368","1","0","-26","1","-1","-1","265.8125"
"2029.36842","6","0","-20","1","-1","-1","265.8125"
"2034.26316","6","0","-20","4","-1","-1","265.8125"
"2039.15789","3","-1","-25","4","-1","-1","265.8125"
"2044.05263","3","-1","-25","1","-1","-1","265.8125"
"2048.94737","0","1","-23","1","-1","-1","265.8125"
"2053.84211","0","1","-23","0","1","-1","265.8125"
"2058.73684","5","1","-21","0","1","-1","265.8125"
"2063.63158","5","1","-21","0","3","-1","265.8125"
"2068.52632","5","1","-21","0","3","-1","265.8125"
"2073.42105","5","1","-21","4","-2","-1","265.8125"
"2078.31579","-1","2","-25","4","-2","-1","265.8125"
"2083.21053","-1","2","-25","1","-1","-1","265.8125"
"2088.10526","-4","0","-28","1","-1","-1","265.8125"
"2093","-4","0","-28","0","1","-1","265.8125"
"2104.6","-4","2","-26","0","1","-1","265.8125"
"2109.2","-4","2","-26","0","3","-1","265.8125"
"2113.8","-4","2","-26","0","3","-1","265.8125"
"2118.4","-4","2","-26","-1","1","-1","265.8125"
"2123","-4","2","-26","-1","1","-1","265.8125"
"2127.6","-4","2","-26","0","-1","-1","265.8125"
"2132.2","-1","5","-23","0","-1","-1","265.8125"
"2136.8","-1","5","-23","0","-2","-1","265.8125"
"2141.4","0","6","-27","0","-2","-1","265.8125"
"2146","0","6","-27","0","0","-1","265.8125"
"2150.6","-2","1","-25","0","0","-1","265.8125"
"2155.2","-2","1","-25","-2","1","-1","265.8125"
"2159.8","-1","1","-24","-2","1","-1","265.8125"
"2164.4","-1","1","-24","-1","0","-1","265.8125"
"2169","-1","1","-24","-1","0","-1","265.8125"
"2173.6","-1","1","-24","-1","-1","-1","265.8125"
"2178.2","4","3","-21","-1","-1","-1","265.8125"
"2182.8","4","3","-21","2","1","-1","265.8125"
"2187.4","3","2","-26","2","1","-1","265.8125"
"2192","3","2","-26","1","-3","-1","265.8125"
"2200","4","-3","-25","1","-3","-1","265.8125"
"2204.94737","4","-3","-25","0","-2","-1","265.8125"
"2209.89474","3","0","-24","0","-2","-1","265.8125"
"2214.84211","3","0","-24","-3","-1","-1","265.8125"
"2219.78947","3","0","-24","-3","-1","-1","265.8125"
"2224.73684","3","0","-24","1","0","-1","265.8125"
"2229.68421","3","-1","-24","1","0","-1","265.8125"
"2234.63158","3","-1","-24","5","-2","-1","265.8125"
"2239.57895","1","0","-26","5","-2","-1","265.8125"
"2244.52632","1","0","-26","1","-2","-1","265.8125"
"2249.47368","-1","0","-25","1","-2","-1","265.8125"
"2254.42105","-1","0","-25","-1","-1","-1","265.8125"
"2259.36842","-1","4","-25","-1","-1","-1","265.8125"
"2264.31579","-1","4","-25","4","-2","-1","265.8125"
"2269.26316","-1","4","-25","4","-2","-1","265.8125"
"2274.21053","-1","4","-25","-2","0","-1","265.8125"
"2279.15789","-1","7","-25","-2","0","-1","265.8125"
"2284.10526","-1","7","-25","0","0","-1","265.8125"
"2289.05263","-4","4","-27","0","0","-1","265.8125"
"2294","-4","4","-27","-3","0","-1","265.8125"
"2304.65","0","-1","-23","-3","0","-1","265.8125"
"2309.3","0","-1","-23","-4","-1","-1","265.8125"
"2313.95","-1","6","-25","-4","-1","-1","265.8125"
"2318.6","-1","6","-25","-6","-2","-1","265.8125"
"2323.25","-1","6","-25","-6","-2","-1","265.8125"
"2327.9","-1","6","-25","0","0","-1","265.8125"
"2332.55","-3","0","-26","0","0","-1","265.8125"
"2337.2","-3","0","-26","0","0","-1","265.8125"
"2341.85","1","0","-28","0","0","-1","265.8125"
"2346.5","1","0","-28","-6","2","-1","265.8125"
"2351.15","3","1","-23","-6","2","-1","265.8125"
"2355.8","3","1","-23","-2","-1","-1","265.8125"
"2360.45","1","-2","-27","-2","-1","-1","265.8125"
"2365.1","1","-2","-27","-3","-3","-1","265.8125"
"2369.75","1","-2","-27","-3","-3","-1","265.8125"
"2374.4","1","-2","-27","-5","0","-1","265.8125"
"2379.05","4","0","-21","-5","0","-1","265.8125"
"2383.7","4","0","-21","0","0","-1","265.8125"
"2388.35","1","0","-26","0","0","-1","265.8125"
"2393","1","0","-26","5","2","-1","265.8125"
"2404.75","2","0","-26","5","2","-1","265.8125"
"2409.5","2","0","-26","-3","0","-1","265.8125"
"2414.25","5","-2","-22","-3","0","-1","265.8125"
"2419","5","-2","-22","-1","2","-1","265.8125"
"2423.75","5","-2","-22","-1","2","-1","265.8125"
"2428.5","5","-2","-22","0","1","-1","265.8125"
"2433.25","-3","5","-23","0","1","-1","265.8125"
"2438","-3","5","-23","3","1","-1","265.8125"
"2442.75","-9","0","-28","3","1","-1","265.8125"
"2447.5","-9","0","-28","0","2","-1","265.8125"
"2452.25","-12","0","-33","0","2","-1","265.8125"
"2457","-12","0","-33","1","3","-1","265.8125"
"2461.75","-1","3","-26","1","3","-1","265.8125"
"2466.5","-1","3","-26","0","-1","-1","265.8125"
"2471.25","-1","3","-26","0","-1","-1","265.8125"
"2476","-1","3","-26","1","-2","-1","265.8125"
"2480.75","8","8","-22","1","-2","-1","265.8125"
"2485.5","8","8","-22","4","-3","-1","265.8125"
"2490.25","-1","-12","-30","4","-3","-1","265.8125"
"2495","-1","-12","-30","-3","0","-1","265.8125"
"2504.65","4","-10","-28","-3","0","-1","265.8125"
"2509.3","4","-10","-28","-4","1","-1","265.8125"
"2513.95","19","16","-15","-4","1","-1","265.8125"
"2518.6","19","16","-15","3","-1","-1","265.8125"
"2523.25","19","16","-15","3","-1","-1","265.8125"
"2527.9","19","16","-15","6","0","-1","265.8125"
"2532.55","6","-12","-27","6","0","-1","265.8125"
"2537.2","6","-12","-27","-1","4","-1","265.8125"
"2541.85","17","5","-12","-1","4","-1","265.8125"
"2546.5","17","5","-12","-6","1","-1","265.8125"
"2551.15","-17","20","-44","-6","1","-1","265.8125"
"2555.8","-17","20","-44","0","-2","-1","265.8125"
"2560.45","0","0","-29","0","-2","-1","265.8125"
"2565.1","0","0","-29","12","4","-1","265.8125"
"2569.75","0","0","-29","12","4","-1","265.8125"
