Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;;;;
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0;;;;;;;;
0,003;0,00000;0,00000;-0,25506;;0,00000;0,00000;-0,00038;;0,00000;0,00000;0,00000;;1003;0;0;-25,99996854;;;;;;;;
0,012;0,00000;0,00000;-0,30721;;0,00000;0,00000;-0,00291;;0,00000;0,00000;-0,00002;;1012;0;0;-31,31637682;;;;;;;;
0,012;0,00000;0,00000;-0,28995;;0,00000;0,00000;-0,00291;;0,00000;0,00000;-0,00002;;1012;0;0;-29,55674671;;;;;;;;
0,020;-0,03480;0,00000;-0,26855;;-0,00014;0,00000;-0,00515;;0,00000;0,00000;-0,00005;;1020;-3,546962264;0;-27,37529356;;;;;;;;
0,024;-0,02306;0,00000;-0,27320;;-0,00025;0,00000;-0,00623;;0,00000;0,00000;-0,00007;;1024;-2,350458783;0;-27,8493723;;;;;;;;
0,032;-0,00300;0,04982;-0,27432;;-0,00036;0,00020;-0,00842;;0,00000;0,00000;-0,00013;;1032;-0,305943531;5,078434901;-27,96368064;;;;;;;;
0,032;-0,00827;0,03569;-0,27459;;-0,00036;0,00020;-0,00842;;0,00000;0,00000;-0,00013;;1032;-0,84276295;3,63847494;-27,99124267;;;;;;;;
0,040;-0,00946;0,03135;-0,27466;;-0,00043;0,00047;-0,01062;;-0,00001;0,00000;-0,00021;;1040;-0,964378273;3,196133391;-27,99788843;;;;;;;;
0,040;-0,00973;0,03002;-0,27468;;-0,00043;0,00047;-0,01062;;-0,00001;0,00000;-0,00021;;1040;-0,991929972;3,060250304;-27,99949086;;;;;;;;
0,053;-0,02719;-0,02021;-0,30919;;-0,00067;0,00053;-0,01441;;-0,00001;0,00001;-0,00037;;1053;-2,771623827;-2,059920338;-31,51763689;;;;;;;;
0,053;-0,02133;-0,00621;-0,29789;;-0,00067;0,00053;-0,01441;;-0,00001;0,00001;-0,00037;;1053;-2,174809777;-0,632787852;-30,36593287;;;;;;;;
0,061;0,01479;0,01470;-0,26066;;-0,00070;0,00057;-0,01665;;-0,00002;0,00001;-0,00049;;1061;1,507301359;1,498423168;-26,57047414;;;;;;;;
0,061;0,00335;0,01131;-0,27130;;-0,00070;0,00057;-0,01665;;-0,00002;0,00001;-0,00049;;1061;0,341475994;1,153110836;-27,65531248;;;;;;;;
0,073;0,00076;0,02688;-0,34288;;-0,00067;0,00079;-0,02033;;-0,00003;0,00002;-0,00071;;1073;0,077360678;2,739843738;-34,9524082;;;;;;;;
0,073;0,00017;0,02185;-0,32090;;-0,00067;0,00079;-0,02033;;-0,00003;0,00002;-0,00071;;1073;0,017525901;2,22727293;-32,71188517;;;;;;;;
0,081;-0,01736;0,00370;-0,26384;;-0,00074;0,00090;-0,02267;;-0,00003;0,00003;-0,00089;;1081;-1,769481619;0,377006521;-26,89501039;;;;;;;;
0,082;-0,01152;0,00793;-0,27951;;-0,00075;0,00090;-0,02294;;-0,00003;0,00003;-0,00091;;1082;-1,174324464;0,808622354;-28,49244454;;;;;;;;
0,089;-0,01020;0,00923;-0,28329;;-0,00083;0,00096;-0,02491;;-0,00004;0,00004;-0,00108;;1089;-1,039492845;0,941210615;-28,87761814;;;;;;;;
0,093;-0,00990;0,00963;-0,28420;;-0,00087;0,00100;-0,02605;;-0,00004;0,00004;-0,00118;;1093;-1,008947022;0,981940463;-28,97049127;;;;;;;;
0,102;-0,04463;0,00976;-0,30167;;-0,00112;0,00109;-0,02868;;-0,00005;0,00005;-0,00142;;1102;-4,54893108;0,994452283;-30,75176468;;;;;;;;
0,102;-0,03287;0,00979;-0,29608;;-0,00112;0,00109;-0,02868;;-0,00005;0,00005;-0,00142;;1102;-3,350907121;0,998295794;-30,18126563;;;;;;;;
0,110;0,00459;0,02641;-0,32924;;-0,00123;0,00123;-0,03118;;-0,00006;0,00006;-0,00166;;1110;0,467406871;2,692286036;-33,56146646;;;;;;;;
0,114;-0,00655;0,02171;-0,31761;;-0,00123;0,00133;-0,03248;;-0,00007;0,00006;-0,00179;;1114;-0,667562019;2,212663658;-32,37650106;;;;;;;;
0,122;-0,02647;-0,01295;-0,22854;;-0,00137;0,00136;-0,03466;;-0,00008;0,00008;-0,00206;;1122;-2,698138941;-1,320290859;-23,29638286;;;;;;;;
0,122;-0,02117;-0,00398;-0,25611;;-0,00137;0,00136;-0,03466;;-0,00008;0,00008;-0,00206;;1122;-2,158161928;-0,405580741;-26,1069832;;;;;;;;
0,130;-0,00257;0,03199;-0,34903;;-0,00146;0,00148;-0,03708;;-0,00009;0,00009;-0,00235;;1130;-0,262379181;3,261028574;-35,57907477;;;;;;;;
0,134;-0,00817;0,02342;-0,32239;;-0,00148;0,00159;-0,03843;;-0,00009;0,00009;-0,00250;;1134;-0,832893534;2,387375933;-32,86298713;;;;;;;;
0,139;-0,00944;0,02079;-0,31596;;-0,00153;0,00170;-0,04002;;-0,00010;0,00010;-0,00269;;1139;-0,962142377;2,118998186;-32,2080836;;;;;;;;
0,139;-0,00973;0,01998;-0,31441;;-0,00153;0,00170;-0,04002;;-0,00010;0,00010;-0,00269;;1139;-0,991423434;2,036555106;-32,05017315;;;;;;;;
0,151;0,00761;-0,01348;-0,27953;;-0,00154;0,00174;-0,04359;;-0,00012;0,00012;-0,00320;;1151;0,775395079;-1,374389724;-28,4943381;;;;;;;;
0,151;0,00172;-0,00414;-0,29074;;-0,00154;0,00174;-0,04359;;-0,00012;0,00012;-0,00320;;1151;0,175664146;-0,422199395;-29,63695454;;;;;;;;
0,163;0,00039;0,01533;-0,27619;;-0,00153;0,00180;-0,04699;;-0,00014;0,00014;-0,00374;;1163;0,039796348;1,56311393;-28,15358259;;;;;;;;
0,163;0,00009;0,01151;-0,28249;;-0,00153;0,00180;-0,04699;;-0,00014;0,00014;-0,00374;;1163;0,00901578;1,172983221;-28,79591169;;;;;;;;
0,171;-0,03478;-0,00628;-0,31852;;-0,00166;0,00182;-0,04939;;-0,00015;0,00016;-0,00412;;1171;-3,544861645;-0,639670759;-32,46854985;;;;;;;;
0,172;-0,02305;-0,00193;-0,30758;;-0,00169;0,00182;-0,04970;;-0,00015;0,00016;-0,00417;;1172;-2,349985199;-0,196500747;-31,35409699;;;;;;;;
0,183;-0,00300;0,01601;-0,25318;;-0,00184;0,00190;-0,05279;;-0,00017;0,00018;-0,00474;;1183;-0,305836345;1,632446399;-25,80874044;;;;;;;;
0,184;-0,00827;0,01172;-0,26950;;-0,00184;0,00191;-0,05305;;-0,00017;0,00018;-0,00479;;1184;-0,842738665;1,194281493;-27,47164312;;;;;;;;
0,192;-0,00946;0,01040;-0,27343;;-0,00191;0,00200;-0,05522;;-0,00019;0,00020;-0,00522;;1192;-0,964372771;1,059681419;-27,8726025;;;;;;;;
0,192;-0,00973;0,00999;-0,27438;;-0,00191;0,00200;-0,05522;;-0,00019;0,00020;-0,00522;;1192;-0,991928725;1,018333562;-27,96928189;;;;;;;;
0,200;-0,00979;-0,00674;-0,29186;;-0,00199;0,00201;-0,05749;;-0,00020;0,00021;-0,00567;;1200;-0,998171469;-0,687177657;-29,75147307;;;;;;;;
0,204;-0,00981;-0,00207;-0,28627;;-0,00203;0,00199;-0,05864;;-0,00021;0,00022;-0,00591;;1204;-0,99958575;-0,211094412;-29,18119532;;;;;;;;
0,212;-0,04460;0,04918;-0,26766;;-0,00225;0,00218;-0,06086;;-0,00023;0,00024;-0,00638;;1212;-4,546810304;5,013582469;-27,28481002;;;;;;;;
0,213;-0,03287;0,03550;-0,27299;;-0,00229;0,00223;-0,06113;;-0,00023;0,00024;-0,00645;;1213;-3,350426664;3,618553301;-27,82755327;;;;;;;;
0,221;-0,01281;-0,00192;-0,34329;;-0,00247;0,00236;-0,06359;;-0,00025;0,00026;-0,00694;;1221;-1,305936358;-0,195605438;-34,99393893;;;;;;;;
0,221;-0,01808;0,00621;-0,32100;;-0,00247;0,00236;-0,06359;;-0,00025;0,00026;-0,00694;;1221;-1,842761322;0,63272143;-32,72189907;;;;;;;;
0,233;-0,01927;0,02531;-0,28112;;-0,00269;0,00255;-0,06721;;-0,00028;0,00029;-0,00773;;1233;-1,964377904;2,579985083;-28,65630477;;;;;;;;
0,233;-0,01954;0,02137;-0,29112;;-0,00269;0,00255;-0,06721;;-0,00028;0,00029;-0,00773;;1233;-1,991929888;2,178165878;-29,67600798;;;;;;;;
0,237;-0,01960;0,02016;-0,29353;;-0,00277;0,00263;-0,06838;;-0,00029;0,00030;-0,00800;;1237;-1,998171733;2,054730856;-29,92187899;;;;;;;;
0,241;-0,01962;0,01978;-0,29412;;-0,00285;0,00271;-0,06955;;-0,00030;0,00031;-0,00828;;1241;-1,99958581;2,016812796;-29,98116345;;;;;;;;
0,253;-0,01962;0,00306;-0,24249;;-0,00309;0,00285;-0,07277;;-0,00034;0,00034;-0,00913;;1253;-1,999906166;0,312355178;-24,71881864;;;;;;;;
0,253;-0,01962;0,00774;-0,25947;;-0,00309;0,00285;-0,07277;;-0,00034;0,00034;-0,00913;;1253;-1,999978742;0,788762079;-26,44996116;;;;;;;;
0,262;-0,01962;0,00917;-0,28082;;-0,00326;0,00293;-0,07520;;-0,00037;0,00037;-0,00980;;1262;-1,999995184;0,935109728;-28,62625437;;;;;;;;
0,262;-0,01962;0,00961;-0,27616;;-0,00326;0,00293;-0,07520;;-0,00037;0,00037;-0,00980;;1262;-1,999998909;0,980066328;-28,15100256;;;;;;;;
0,274;-0,01962;-0,00686;-0,25778;;-0,00350;0,00294;-0,07841;;-0,00041;0,00040;-0,01072;;1274;-1,999999753;-0,698932985;-26,27752994;;;;;;;;
0,274;-0,01962;-0,00211;-0,26316;;-0,00350;0,00294;-0,07841;;-0,00041;0,00040;-0,01072;;1274;-1,999999944;-0,214705537;-26,82579789;;;;;;;;
0,282;-0,01962;0,03257;-0,29897;;-0,00366;0,00306;-0,08065;;-0,00044;0,00043;-0,01135;;1282;-1,999999987;3,319663614;-30,47575601;;;;;;;;
0,282;-0,01962;0,02360;-0,28798;;-0,00366;0,00306;-0,08065;;-0,00044;0,00043;-0,01135;;1282;-1,999999997;2,405388057;-29,35583454;;;;;;;;
0,290;-0,01962;0,05405;-0,28533;;-0,00381;0,00337;-0,08295;;-0,00047;0,00045;-0,01201;;1290;-1,999999999;5,510150443;-29,08579889;;;;;;;;
0,294;-0,01962;0,04379;-0,28469;;-0,00389;0,00357;-0,08409;;-0,00048;0,00047;-0,01234;;1294;-2;4,463903791;-29,02068784;;;;;;;;
0,302;-0,01962;-0,00918;-0,26728;;-0,00405;0,00371;-0,08630;;-0,00051;0,00050;-0,01302;;1302;-2;-0,935921842;-27,24610843;;;;;;;;
0,302;-0,01962;0,00398;-0,27290;;-0,00405;0,00371;-0,08630;;-0,00051;0,00050;-0,01302;;1302;-2;0,405303302;-27,81822153;;;;;;;;
0,310;-0,01962;-0,00859;-0,30876;;-0,00420;0,00369;-0,08862;;-0,00055;0,00053;-0,01372;;1310;-2;-0,875494697;-31,4739292;;;;;;;;
0,313;-0,01962;-0,00264;-0,29779;;-0,00426;0,00367;-0,08953;;-0,00056;0,00054;-0,01399;;1313;-2;-0,268943608;-30,35539406;;;;;;;;
0,322;-0,00222;0,01580;-0,24338;;-0,00436;0,00373;-0,09197;;-0,00060;0,00057;-0,01481;;1322;-0,226547924;1,610192644;-24,80905319;;;;;;;;
0,322;-0,00809;0,01165;-0,25969;;-0,00436;0,00373;-0,09197;;-0,00060;0,00057;-0,01481;;1322;-0,824776038;1,187445352;-26,47171853;;;;;;;;
0,330;-0,02682;0,07680;-0,29813;;-0,00450;0,00409;-0,09420;;-0,00063;0,00060;-0,01555;;1330;-2,733755451;7,828819629;-30,39038034;;;;;;;;
0,330;-0,02125;0,05757;-0,28778;;-0,00450;0,00409;-0,09420;;-0,00063;0,00060;-0,01555;;1330;-2,166230774;5,86898637;-29,33524875;;;;;;;;
0,338;-0,01999;0,05167;-0,28528;;-0,00467;0,00452;-0,09649;;-0,00067;0,00064;-0,01632;;1338;-2,037659237;5,266944312;-29,08083524;;;;;;;;
0,339;-0,01970;0,04985;-0,28468;;-0,00469;0,00457;-0,09678;;-0,00068;0,00064;-0,01641;;1339;-2,008531622;5,082002743;-29,01949101;;;;;;;;
0,351;-0,01964;-0,01713;-0,28454;;-0,00492;0,00477;-0,10019;;-0,00073;0,00070;-0,01759;;1351;-2,001932821;-1,746047748;-29,00469967;;;;;;;;
0,351;-0,01962;0,00153;-0,28450;;-0,00492;0,00477;-0,10019;;-0,00073;0,00070;-0,01759;;1351;-2,000437877;0,156440362;-29,00113319;;;;;;;;
0,363;-0,00222;0,00727;-0,30175;;-0,00505;0,00482;-0,10371;;-0,00079;0,00075;-0,01882;;1363;-0,226647125;0,740866537;-30,75915306;;;;;;;;
0,363;-0,00809;0,00903;-0,29610;;-0,00505;0,00482;-0,10371;;-0,00079;0,00075;-0,01882;;1363;-0,824798511;0,920396675;-30,18304712;;;;;;;;
0,371;-0,00942;0,00957;-0,27748;;-0,00512;0,00490;-0,10600;;-0,00083;0,00079;-0,01966;;1371;-0,960308466;0,975546619;-28,28525652;;;;;;;;
0,371;-0,00972;0,00974;-0,28280;;-0,00512;0,00490;-0,10600;;-0,00083;0,00079;-0,01966;;1371;-0,991007965;0,992488155;-28,82766093;;;;;;;;
0,379;-0,00979;-0,00682;-0,26683;;-0,00520;0,00491;-0,10820;;-0,00088;0,00083;-0,02051;;1379;-0,997962873;-0,695117119;-27,19956575;;;;;;;;
0,383;-0,00981;-0,00209;-0,27279;;-0,00524;0,00489;-0,10928;;-0,00090;0,00085;-0,02095;;1383;-0,999538493;-0,213533339;-27,80699915;;;;;;;;
0,387;-0,00981;-0,00064;-0,27422;;-0,00528;0,00489;-0,11038;;-0,00092;0,00087;-0,02139;;1387;-0,999895447;-0,065595402;-27,9534636;;;;;;;;
0,388;-0,00981;-0,00020;-0,27457;;-0,00529;0,00489;-0,11065;;-0,00092;0,00088;-0,02150;;1388;-0,999976314;-0,020150281;-27,98877914;;;;;;;;
0,400;-0,00981;0,06637;-0,30916;;-0,00541;0,00528;-0,11415;;-0,00099;0,00094;-0,02285;;1400;-0,999994634;6,765048234;-31,51505408;;;;;;;;
0,404;-0,00981;0,04757;-0,29788;;-0,00545;0,00551;-0,11537;;-0,00101;0,00096;-0,02331;;1404;-0,999998784;4,849396406;-30,3653101;;;;;;;;
0,412;-0,04461;0,02519;-0,29516;;-0,00566;0,00580;-0,11774;;-0,00105;0,00100;-0,02424;;1412;-4,546903876;2,568116911;-30,08808363;;;;;;;;
0,412;-0,03287;0,02813;-0,29451;;-0,00566;0,00580;-0,11774;;-0,00105;0,00100;-0,02424;;1412;-3,350447862;2,86732964;-30,02123874;;;;;;;;
0,420;0,00459;-0,00418;-0,29435;;-0,00578;0,00590;-0,12009;;-0,00110;0,00105;-0,02519;;1420;0,467510915;-0,426374171;-30,00512109;;;;;;;;
0,420;-0,00655;0,00551;-0,29431;;-0,00578;0,00590;-0,12009;;-0,00110;0,00105;-0,02519;;1420;-0,667538448;0,561831479;-30,0012348;;;;;;;;
0,432;0,00833;0,02510;-0,20803;;-0,00577;0,00608;-0,12311;;-0,00117;0,00112;-0,02665;;1432;0,84877055;2,558208368;-21,2058986;;;;;;;;
0,433;0,00189;0,02130;-0,23628;;-0,00576;0,00610;-0,12333;;-0,00117;0,00113;-0,02677;;1433;0,192287206;2,171476279;-24,08516562;;;;;;;;
0,437;0,00043;0,02014;-0,24309;;-0,00576;0,00619;-0,12429;;-0,00120;0,00115;-0,02727;;1437;0,043562268;2,052675875;-24,77941498;;;;;;;;
0,441;0,00010;0,01978;-0,24473;;-0,00576;0,00627;-0,12526;;-0,00122;0,00118;-0,02777;;1441;0,009868941;2,016181526;-24,9468125;;;;;;;;
0,453;-0,03477;0,00306;-0,26238;;-0,00596;0,00640;-0,12831;;-0,00129;0,00125;-0,02929;;1453;-3,544668363;0,312161258;-26,74605525;;;;;;;;
0,453;-0,02305;0,00774;-0,25682;;-0,00596;0,00640;-0,12831;;-0,00129;0,00125;-0,02929;;1453;-2,349941412;0,788702509;-26,17988897;;;;;;;;
0,461;-0,00300;0,02578;-0,34176;;-0,00607;0,00654;-0,13070;;-0,00134;0,00131;-0,03032;;1461;-0,305826425;2,627900981;-34,837774;;;;;;;;
0,461;-0,00827;0,02151;-0,31319;;-0,00607;0,00654;-0,13070;;-0,00134;0,00131;-0,03032;;1461;-0,842736417;2,192885184;-31,92536473;;;;;;;;
0,469;0,00794;0,02020;-0,20277;;-0,00607;0,00670;-0,13277;;-0,00139;0,00136;-0,03138;;1469;0,809079814;2,059252486;-20,66984514;;;;;;;;
0,473;0,00180;0,01980;-0,23501;;-0,00605;0,00678;-0,13364;;-0,00141;0,00139;-0,03191;;1473;0,183295353;2,018201798;-23,95591231;;;;;;;;
0,482;-0,03439;0,01967;-0,32905;;-0,00620;0,00696;-0,13618;;-0,00147;0,00145;-0,03312;;1482;-3,505378969;2,005591418;-33,54264854;;;;;;;;
0,482;-0,02297;0,01964;-0,30268;;-0,00620;0,00696;-0,13618;;-0,00147;0,00145;-0,03312;;1482;-2,341040481;2,00171763;-30,85420403;;;;;;;;
0,490;-0,02038;0,01963;-0,29632;;-0,00637;0,00712;-0,13857;;-0,00152;0,00150;-0,03422;;1490;-2,077262013;2,00052764;-30,20596582;;;;;;;;
0,490;-0,01979;0,01962;-0,29479;;-0,00637;0,00712;-0,13857;;-0,00152;0,00150;-0,03422;;1490;-2,017503549;2,000162086;-30,04966251;;;;;;;;
0,502;-0,01966;0,03623;-0,31167;;-0,00661;0,00745;-0,14221;;-0,00159;0,00159;-0,03591;;1502;-2,003965393;3,692859343;-31,77085446;;;;;;;;
0,502;-0,01963;0,03152;-0,30593;;-0,00661;0,00745;-0,14221;;-0,00159;0,00159;-0,03591;;1502;-2,000898351;3,212839772;-31,18586856;;;;;;;;
0,510;-0,00222;0,03007;-0,30455;;-0,00669;0,00770;-0,14466;;-0,00165;0,00165;-0,03706;;1510;-0,226751444;3,065382345;-31,04481666;;;;;;;;
0,510;-0,00809;0,02963;-0,30422;;-0,00669;0,00770;-0,14466;;-0,00165;0,00165;-0,03706;;1510;-0,824822145;3,020084832;-31,0108062;;;;;;;;
0,523;-0,02682;-0,00372;-0,28688;;-0,00692;0,00787;-0,14850;;-0,00174;0,00175;-0,03896;;1523;-2,733765896;-0,379449235;-29,24372577;;;;;;;;
0,523;-0,02125;0,00565;-0,29251;;-0,00692;0,00787;-0,14850;;-0,00174;0,00175;-0,03896;;1523;-2,166233141;0,576246371;-29,81764703;;;;;;;;
0,531;-0,01999;0,00853;-0,24210;;-0,00709;0,00793;-0,15064;;-0,00179;0,00182;-0,04016;;1531;-2,037659773;0,869826933;-24,67939154;;;;;;;;
0,531;-0,01970;0,00942;-0,25938;;-0,00709;0,00793;-0,15064;;-0,00179;0,00182;-0,04016;;1531;-2,008531743;0,960012077;-26,44045449;;;;;;;;
0,539;-0,01964;0,00969;-0,26355;;-0,00724;0,00800;-0,15273;;-0,00185;0,00188;-0,04137;;1539;-2,001932849;0,987716092;-26,86508229;;;;;;;;
0,539;-0,01962;0,00977;-0,26455;;-0,00724;0,00800;-0,15273;;-0,00185;0,00188;-0,04137;;1539;-2,000437883;0,996226501;-26,96746862;;;;;;;;
0,551;-0,01962;0,04301;-0,29930;;-0,00748;0,00832;-0,15611;;-0,00194;0,00198;-0,04322;;1551;-2,000099201;4,384459921;-30,50991568;;;;;;;;
0,552;-0,01962;0,03360;-0,28806;;-0,00750;0,00836;-0,15640;;-0,00195;0,00199;-0,04338;;1552;-2,000022474;3,425292863;-29,36407113;;;;;;;;
0,559;0,03257;-0,01911;-0,31986;;-0,00745;0,00841;-0,15853;;-0,00200;0,00205;-0,04448;;1559;3,320351135;-1,94778275;-32,60554455;;;;;;;;
0,563;0,01497;-0,00587;-0,30791;;-0,00736;0,00836;-0,15979;;-0,00203;0,00208;-0,04512;;1563;1,525670734;-0,598340256;-31,38712918;;;;;;;;
0,572;-0,02382;0,01480;-0,23601;;-0,00740;0,00840;-0,16224;;-0,00209;0,00215;-0,04657;;1572;-2,427814537;1,509005141;-24,05782534;;;;;;;;
0,572;-0,01298;0,01134;-0,25791;;-0,00740;0,00840;-0,16224;;-0,00209;0,00215;-0,04657;;1572;-1,32346842;1,156361517;-26,29058234;;;;;;;;
0,580;-0,02793;0,06010;-0,24594;;-0,00756;0,00868;-0,16425;;-0,00215;0,00222;-0,04787;;1580;-2,846733175;6,12646142;-25,07006526;;;;;;;;
0,584;-0,02150;0,04565;-0,25286;;-0,00766;0,00890;-0,16525;;-0,00218;0,00226;-0,04853;;1584;-2,191825643;4,653228637;-25,77577398;;;;;;;;
0,588;-0,02005;0,04121;-0,25453;;-0,00774;0,00907;-0,16626;;-0,00221;0,00229;-0,04920;;1588;-2,043457701;4,200665598;-25,94593458;;;;;;;;
0,588;-0,01972;0,03984;-0,25493;;-0,00774;0,00907;-0,16626;;-0,00221;0,00229;-0,04920;;1588;-2,009845252;4,061642555;-25,98696374;;;;;;;;
0,600;-0,01964;-0,01039;-0,30679;;-0,00798;0,00925;-0,16963;;-0,00231;0,00240;-0,05121;;1600;-2,002230421;-1,059492652;-31,27349618;;;;;;;;
0,601;-0,01962;0,00360;-0,28987;;-0,00800;0,00924;-0,16993;;-0,00232;0,00241;-0,05138;;1601;-2,000505297;0,367343529;-29,54818579;;;;;;;;
0,613;-0,01962;-0,00870;-0,28579;;-0,00823;0,00921;-0,17339;;-0,00241;0,00252;-0,05344;;1613;-2,000114474;-0,887155577;-29,13217865;;;;;;;;
0,613;-0,01962;-0,00267;-0,28480;;-0,00823;0,00921;-0,17339;;-0,00241;0,00252;-0,05344;;1613;-2,000025934;-0,272525719;-29,03187094;;;;;;;;
0,621;-0,00222;0,03239;-0,28457;;-0,00832;0,00933;-0,17566;;-0,00248;0,00260;-0,05484;;1621;-0,2265538;3,301901806;-29,00768473;;;;;;;;
0,621;-0,00809;0,02354;-0,28451;;-0,00832;0,00933;-0,17566;;-0,00248;0,00260;-0,05484;;1621;-0,824777369;2,399931799;-29,00185294;;;;;;;;
0,633;-0,00942;0,00422;-0,23273;;-0,00843;0,00950;-0,17877;;-0,00258;0,00271;-0,05696;;1633;-0,960303677;0,430045677;-23,7238073;;;;;;;;
0,633;-0,00972;0,00809;-0,24968;;-0,00843;0,00950;-0,17877;;-0,00258;0,00271;-0,05696;;1633;-0,99100688;0,824915476;-25,45116402;;;;;;;;
0,637;-0,00979;0,00928;-0,25376;;-0,00847;0,00953;-0,17977;;-0,00261;0,00275;-0,05768;;1637;-0,997962627;0,946215707;-25,86766457;;;;;;;;
0,641;-0,00981;0,00965;-0,25475;;-0,00851;0,00957;-0,18079;;-0,00265;0,00279;-0,05840;;1641;-0,999538437;0,983477979;-25,96809126;;;;;;;;
0,650;-0,00981;0,02637;-0,32400;;-0,00859;0,00973;-0,18340;;-0,00273;0,00287;-0,06004;;1650;-0,999895434;2,687734145;-33,02782547;;;;;;;;
0,654;-0,00981;0,02169;-0,30146;;-0,00863;0,00983;-0,18465;;-0,00276;0,00291;-0,06078;;1654;-0,999976311;2,21126536;-30,7300698;;;;;;;;
0,662;-0,00981;0,00365;-0,31328;;-0,00871;0,00993;-0,18711;;-0,00283;0,00299;-0,06226;;1662;-0,999994633;0,372089149;-31,93491438;;;;;;;;
0,662;-0,00981;0,00792;-0,30632;;-0,00871;0,00993;-0,18711;;-0,00283;0,00299;-0,06226;;1662;-0,999998784;0,807111784;-31,22542672;;;;;;;;
0,670;-0,00981;0,00923;-0,23562;;-0,00879;0,01000;-0,18927;;-0,00290;0,00307;-0,06377;;1670;-0,999999725;0,940746583;-24,01883562;;;;;;;;
0,674;-0,00981;0,00963;-0,25782;;-0,00883;0,01004;-0,19026;;-0,00293;0,00311;-0,06453;;1674;-0,999999938;0,981797916;-26,28118113;;;;;;;;
0,682;-0,00981;0,02636;-0,29768;;-0,00891;0,01018;-0,19248;;-0,00301;0,00319;-0,06606;;1682;-0,999999986;2,687218046;-30,34443793;;;;;;;;
0,683;-0,00981;0,02169;-0,28767;;-0,00892;0,01020;-0,19277;;-0,00301;0,00320;-0,06625;;1683;-0,999999997;2,211106819;-29,3241711;;;;;;;;
0,691;-0,00981;0,02026;-0,28526;;-0,00900;0,01037;-0,19507;;-0,00309;0,00329;-0,06780;;1691;-0,999999999;2,064849998;-29,07816419;;;;;;;;
0,691;-0,00981;0,01982;-0,28467;;-0,00900;0,01037;-0,19507;;-0,00309;0,00329;-0,06780;;1691;-1;2,0199213;-29,01884696;;;;;;;;
0,703;-0,02721;0,00307;-0,26728;;-0,00922;0,01051;-0,19838;;-0,00320;0,00341;-0,07016;;1703;-2,773452075;0,313310081;-27,24566456;;;;;;;;
0,703;-0,02134;0,00774;-0,27290;;-0,00922;0,01051;-0,19838;;-0,00320;0,00341;-0,07016;;1703;-2,175223962;0,789055416;-27,81811451;;;;;;;;
0,711;0,01479;0,00917;-0,29150;;-0,00924;0,01058;-0,20064;;-0,00327;0,00349;-0,07176;;1711;1,507207526;0,935199839;-29,71502357;;;;;;;;
0,711;0,00335;0,00961;-0,28618;;-0,00924;0,01058;-0,20064;;-0,00327;0,00349;-0,07176;;1711;0,341454737;0,980094009;-29,17240661;;;;;;;;
0,723;-0,03404;0,00975;-0,25039;;-0,00943;0,01069;-0,20385;;-0,00338;0,00362;-0,07419;;1723;-3,469548289;0,99388507;-25,52381105;;;;;;;;
0,723;-0,02289;0,00979;-0,26138;;-0,00943;0,01069;-0,20385;;-0,00338;0,00362;-0,07419;;1723;-2,332923115;0,998121552;-26,64406107;;;;;;;;
0,732;-0,02036;0,00980;-0,28128;;-0,00962;0,01078;-0,20630;;-0,00347;0,00372;-0,07603;;1732;-2,075423041;0,999422959;-28,67305577;;;;;;;;
0,732;-0,01979;0,00981;-0,27627;;-0,00962;0,01078;-0,20630;;-0,00347;0,00372;-0,07603;;1732;-2,017086933;0,999822738;-28,16228732;;;;;;;;
0,740;-0,01966;0,00981;-0,27506;;-0,00978;0,01086;-0,20850;;-0,00354;0,00381;-0,07769;;1740;-2,003871009;0,999945547;-28,03913075;;;;;;;;
0,740;-0,01963;0,00981;-0,27477;;-0,00978;0,01086;-0,20850;;-0,00354;0,00381;-0,07769;;1740;-2,000876969;0,999983273;-28,00943521;;;;;;;;
0,752;0,01517;0,00981;-0,30921;;-0,00981;0,01098;-0,21201;;-0,00366;0,00394;-0,08022;;1752;1,546705475;0,999994861;-31,52003468;;;;;;;;
0,752;0,00344;0,00981;-0,29790;;-0,00981;0,01098;-0,21201;;-0,00366;0,00394;-0,08022;;1752;0,350402915;0,999998421;-30,36651102;;;;;;;;
0,760;-0,01662;0,02642;-0,27791;;-0,00986;0,01112;-0,21431;;-0,00374;0,00402;-0,08192;;1760;-1,694069022;2,692809067;-28,32949337;;;;;;;;
0,764;-0,01135;0,02171;-0,28290;;-0,00992;0,01122;-0,21543;;-0,00378;0,00407;-0,08278;;1764;-1,157239896;2,212824328;-28,83832733;;;;;;;;
0,773;0,02464;0,02026;-0,33587;;-0,00986;0,01141;-0,21822;;-0,00387;0,00417;-0,08473;;1773;2,511281779;2,065377601;-34,23765694;;;;;;;;
0,773;0,01317;0,01982;-0,31921;;-0,00986;0,01141;-0,21822;;-0,00387;0,00417;-0,08473;;1773;1,34237775;2,020083374;-32,53954423;;;;;;;;
0,781;-0,04162;0,00307;-0,22892;;-0,00997;0,01150;-0,22041;;-0,00395;0,00426;-0,08649;;1781;-4,242791258;0,313359869;-23,33569586;;;;;;;;
