Timer,Value
"0","0"
"0.007","0"
"0.014","0"
"0.021","0"
"0.028","0"
"0.035","0"
"0.042","0"
"0.049","0"
"0.056","0"
"0.063","0"
"0.07","0"
"0.077","0"
"0.084","0"
"0.091","0"
"0.098","0"
"0.10494444","0"
"0.10988889","0"
"0.11483333","0"
"0.11977778","0"
"0.12472222","0"
"0.12966667","0"
"0.13461111","0"
"0.13955556","0"
"0.1445","0"
"0.14944444","0"
"0.15438889","0"
"0.15933333","0"
"0.16427778","0"
"0.16922222","0"
"0.17416667","0"
"0.17911111","0"
"0.18405556","0"
"0.189","0"
"0.2","0"
"0.2","0"
"0.20495","0"
"0.2099","0"
"0.21485","0"
"0.2198","0"
"0.22475","0"
"0.2297","0"
"0.23465","0"
"0.2396","0"
"0.24455","0"
"0.2495","0"
"0.25445","0"
"0.2594","0"
"0.26435","0"
"0.2693","0"
"0.27425","0"
"0.2792","0"
"0.28415","0"
"0.2891","0"
"0.29405","0"
"0.299","0"
"0.30494444","0"
"0.30988889","0"
"0.31483333","0"
"0.31977778","0"
"0.32472222","0"
"0.32966667","0"
"0.33461111","0"
"0.33955556","0"
"0.3445","0"
"0.34944444","0"
"0.35438889","0"
"0.35933333","0"
"0.36427778","0"
"0.36922222","0"
"0.37416667","0"
"0.37911111","0"
"0.38405556","0"
"0.389","0"
"0.4","0"
"0.4049","0"
"0.4098","0"
"0.4147","0"
"0.4196","0"
"0.4245","0"
"0.4294","0"
"0.4343","0"
"0.4392","0"
"0.4441","0"
"0.449","0"
"0.4539","0"
"0.4588","0"
"0.4637","0"
"0.4686","0"
"0.4735","0"
"0.4784","0"
"0.4833","0"
"0.4882","0"
"0.4931","0"
"0.498","0"
"0.5","0"
"0.505","0"
"0.51","0"
"0.515","0"
"0.52","0"
"0.525","0"
"0.53","0"
"0.535","0"
"0.54","0"
"0.545","0"
"0.55","0"
"0.555","0"
"0.56","0"
"0.565","0"
"0.57","0"
"0.575","0"
"0.58","0"
"0.585","0"
"0.59","0"
"0.6046","0"
"0.6092","0"
"0.6138","0"
"0.6184","0"
"0.623","0"
"0.6276","0"
"0.6322","0"
"0.6368","0"
"0.6414","0"
"0.646","0"
"0.6506","0"
"0.6552","0"
"0.6598","0"
"0.6644","0"
"0.669","0"
"0.6736","0"
"0.6782","0"
"0.6828","0"
"0.6874","0"
"0.692","0"
"0.7","0"
"0.7","0"
"0.70495","0"
"0.7099","0"
"0.71485","0"
"0.7198","0"
"0.72475","0"
"0.7297","0"
"0.73465","0"
"0.7396","0"
"0.74455","0"
"0.7495","0"
"0.75445","0"
"0.7594","0"
"0.76435","0"
"0.7693","0"
"0.77425","0"
"0.7792","0"
"0.78415","0"
"0.7891","0"
"0.79405","0"
"0.799","0"
"0.805","0"
"0.81","0"
"0.815","0"
"0.82","0"
"0.825","0"
"0.83","0"
"0.835","0"
"0.84","0"
"0.845","0"
"0.85","0"
"0.855","0"
"0.86","0"
"0.865","0"
"0.87","0"
"0.875","0"
"0.88","0"
"0.885","0"
"0.89","0"
"0.9","0"
"0.90471429","0"
"0.90942857","0"
"0.91414286","0"
"0.91885714","0"
"0.92357143","0"
"0.92828571","0"
"0.933","0"
"0.93771429","0"
"0.94242857","0"
"0.94714286","0"
"0.95185714","0"
"0.95657143","0"
"0.96128571","0"
"0.966","0"
"0.97071429","0"
"0.97542857","0"
"0.98014286","0"
"0.98485714","0"
"0.98957143","0"
"0.99428571","0"
"0.999","0"
"1.00494444","0"
"1.00988889","0"
"1.01483333","0"
"1.01977778","0"
"1.02472222","0"
"1.02966667","0"
"1.03461111","0"
"1.03955556","0"
"1.0445","0"
"1.04944444","0"
"1.05438889","0"
"1.05933333","0"
"1.06427778","0"
"1.06922222","0"
"1.07416667","0"
"1.07911111","0"
"1.08405556","0"
"1.089","0"
"1.1046","0"
"1.1092","0"
"1.1138","0"
"1.1184","0"
"1.123","0"
"1.1276","0"
"1.1322","0"
"1.1368","0"
"1.1414","0"
"1.146","0"
"1.1506","0"
"1.1552","0"
"1.1598","0"
"1.1644","0"
"1.169","0"
"1.1736","0"
"1.1782","0"
"1.1828","0"
"1.1874","0"
"1.192","0"
"1.2","0"
"1.2","0"
"1.20511111","0"
"1.21022222","0"
"1.21533333","0"
"1.22044444","0"
"1.22555556","0"
"1.23066667","0"
"1.23577778","0"
"1.24088889","0"
"1.246","0"
"1.25111111","0"
"1.25622222","0"
"1.26133333","0"
"1.26644444","0"
"1.27155556","0"
"1.27666667","0"
"1.28177778","0"
"1.28688889","0"
"1.292","0"
"1.3047","0"
"1.3094","0"
"1.3141","0"
"1.3188","0"
"1.3235","0"
"1.3282","0"
"1.3329","0"
"1.3376","0"
"1.3423","0"
"1.347","0"
"1.3517","0"
"1.3564","0"
"1.3611","0"
"1.3658","0"
"1.3705","0"
"1.3752","0"
"1.3799","0"
"1.3846","0"
"1.3893","0"
"1.394","0"
"1.4046","0"
"1.4092","0"
"1.4138","0"
"1.4184","0"
"1.423","0"
"1.4276","0"
"1.4322","0"
"1.4368","0"
"1.4414","0"
"1.446","0"
"1.4506","0"
