Timer,Value
"0","0"
"0.00570588","0"
"0.01141176","0"
"0.01711765","0"
"0.02282353","0"
"0.02852941","0"
"0.03423529","0"
"0.03994118","0"
"0.04564706","0"
"0.05135294","0"
"0.05705882","0"
"0.06276471","0"
"0.06847059","0"
"0.07417647","0"
"0.07988235","0"
"0.08558824","0"
"0.09129412","0"
"0.097","0"
"0.1049","0"
"0.1098","0"
"0.1147","0"
"0.1196","0"
"0.1245","0"
"0.1294","0"
"0.1343","0"
"0.1392","0"
"0.1441","0"
"0.149","0"
"0.1539","0"
"0.1588","0"
"0.1637","0"
"0.1686","0"
"0.1735","0"
"0.1784","0"
"0.1833","0"
"0.1882","0"
"0.1931","0"
"0.198","0"
"0.20485","0"
"0.2097","0"
"0.21455","0"
"0.2194","0"
"0.22425","0"
"0.2291","0"
"0.23395","0"
"0.2388","0"
"0.24365","0"
"0.2485","0"
"0.25335","0"
"0.2582","0"
"0.26305","0"
"0.2679","0"
"0.27275","0"
"0.2776","0"
"0.28245","0"
"0.2873","0"
"0.29215","0"
"0.297","0"
"0.30495","0"
"0.3099","0"
"0.31485","0"
"0.3198","0"
"0.32475","0"
"0.3297","0"
"0.33465","0"
"0.3396","0"
"0.34455","0"
"0.3495","0"
"0.35445","0"
"0.3594","0"
"0.36435","0"
"0.3693","0"
"0.37425","0"
"0.3792","0"
"0.38415","0"
"0.3891","0"
"0.39405","0"
"0.399","0"
"0.4049","0"
"0.4098","0"
"0.4147","0"
"0.4196","0"
"0.4245","0"
"0.4294","0"
"0.4343","0"
"0.4392","0"
"0.4441","0"
"0.449","0"
"0.4539","0"
"0.4588","0"
"0.4637","0"
"0.4686","0"
"0.4735","0"
"0.4784","0"
"0.4833","0"
"0.4882","0"
"0.4931","0"
"0.498","0"
"0.50505263","0"
"0.51010526","0"
"0.51515789","0"
"0.52021053","0"
"0.52526316","0"
"0.53031579","0"
"0.53536842","0"
"0.54042105","0"
"0.54547368","0"
"0.55052632","0"
"0.55557895","0"
"0.56063158","0"
"0.56568421","0"
"0.57073684","0"
"0.57578947","0"
"0.58084211","0"
"0.58589474","0"
"0.59094737","0"
"0.596","0"
"0.6","0"
"0.60495","0"
"0.6099","0"
"0.61485","0"
"0.6198","0"
"0.62475","0"
"0.6297","0"
"0.63465","0"
"0.6396","0"
"0.64455","0"
"0.6495","0"
"0.65445","0"
"0.6594","0"
"0.66435","0"
"0.6693","0"
"0.67425","0"
"0.6792","0"
"0.68415","0"
"0.6891","0"
"0.69405","0"
"0.699","0"
"0.70510526","0"
"0.71021053","0"
"0.71531579","0"
"0.72042105","0"
"0.72552632","0"
"0.73063158","0"
"0.73573684","0"
"0.74084211","0"
"0.74594737","0"
"0.75105263","0"
"0.75615789","0"
"0.76126316","0"
"0.76636842","0"
"0.77147368","0"
"0.77657895","0"
"0.78168421","0"
"0.78678947","0"
"0.79189474","0"
"0.797","0"
"0.80471429","0"
"0.80942857","0"
"0.81414286","0"
"0.81885714","0"
"0.82357143","0"
"0.82828571","0"
"0.833","0"
"0.83771429","0"
"0.84242857","0"
"0.84714286","0"
"0.85185714","0"
"0.85657143","0"
"0.86128571","0"
"0.866","0"
"0.87071429","0"
"0.87542857","0"
"0.88014286","0"
"0.88485714","0"
"0.88957143","0"
"0.89428571","0"
"0.899","0"
"0.90510526","0"
"0.91021053","0"
"0.91531579","0"
"0.92042105","0"
"0.92552632","0"
"0.93063158","0"
"0.93573684","0"
"0.94084211","0"
"0.94594737","0"
"0.95105263","0"
"0.95615789","0"
"0.96126316","0"
"0.96636842","0"
"0.97147368","0"
"0.97657895","0"
"0.98168421","0"
"0.98678947","0"
"0.99189474","0"
"0.997","0"
"1.00478947","0"
"1.00957895","0"
"1.01436842","0"
"1.01915789","0"
"1.02394737","0"
"1.02873684","0"
"1.03352632","0"
"1.03831579","0"
"1.04310526","0"
"1.04789474","0"
"1.05268421","0"
"1.05747368","0"
"1.06226316","0"
"1.06705263","0"
"1.07184211","0"
"1.07663158","0"
"1.08142105","0"
"1.08621053","0"
"1.091","0"
"1.1","0"
"1.1","0"
"1.10515789","0"
"1.11031579","0"
"1.11547368","0"
"1.12063158","0"
"1.12578947","0"
"1.13094737","0"
"1.13610526","0"
"1.14126316","0"
"1.14642105","0"
"1.15157895","0"
"1.15673684","0"
"1.16189474","0"
"1.16705263","0"
"1.17221053","0"
"1.17736842","0"
"1.18252632","0"
"1.18768421","0"
"1.19284211","0"
"1.198","0"
"1.20484211","0"
"1.20968421","0"
"1.21452632","0"
"1.21936842","0"
"1.22421053","0"
"1.22905263","0"
"1.23389474","0"
"1.23873684","0"
"1.24357895","0"
"1.24842105","0"
"1.25326316","0"
"1.25810526","0"
"1.26294737","0"
"1.26778947","0"
"1.27263158","0"
"1.27747368","0"
"1.28231579","0"
"1.28715789","0"
"1.292","0"
"1.3","0"
"1.30471429","0"
"1.30942857","0"
"1.31414286","0"
"1.31885714","0"
"1.32357143","0"
"1.32828571","0"
"1.333","0"
"1.33771429","0"
"1.34242857","0"
"1.34714286","0"
"1.35185714","0"
"1.35657143","0"
"1.36128571","0"
"1.366","0"
"1.37071429","0"
"1.37542857","0"
"1.38014286","0"
"1.38485714","0"
"1.38957143","0"
"1.39428571","0"
"1.399","0"
"1.40494444","0"
"1.40988889","0"
"1.41483333","0"
"1.41977778","0"
"1.42472222","0"
"1.42966667","0"
"1.43461111","0"
"1.43955556","0"
"1.4445","0"
"1.44944444","0"
"1.45438889","0"
"1.45933333","0"
"1.46427778","0"
"1.46922222","0"
"1.47416667","0"
"1.47911111","0"
"1.48405556","0"
"1.489","0"
"1.50471429","0"
"1.50942857","0"
"1.51414286","0"
"1.51885714","0"
"1.52357143","0"
"1.52828571","0"
"1.533","0"
"1.53771429","0"
"1.54242857","0"
"1.54714286","0"
"1.55185714","0"
"1.55657143","0"
"1.56128571","0"
"1.566","0"
"1.57071429","0"
"1.57542857","0"
"1.58014286","0"
"1.58485714","0"
"1.58957143","0"
"1.59428571","0"
"1.599","0"
"1.6","0"
"1.605","0"
"1.61","0"
"1.615","0"
"1.62","0"
"1.625","0"
"1.63","0"
"1.635","0"
"1.64","0"
"1.645","0"
"1.65","0"
"1.655","0"
"1.66","0"
